normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
GENERALISSIMO TRUJILLO,TRUJILLO,2,2,Person,Generalissimo Trujillo,True
GENEVA,GENEVA,2,2,Location,Geneva,False
GENNADY VORONOV,GENNADY VORONOV,2,2,Person,Gennady Voronov,False
GIZENGA DISSIDENTS,GIZENGA DISSIDENTS,2,2,PoliticalGroup,Gizenga dissidents,False
GIZENGAS STANLEYVILLE REGIME,GIZENGAS STANLEYVILLE REGIME,2,2,Government,Gizenga's Stanleyville regime,False
GOVERNMENT,GOVERNMENT,2,2,Government,Government; government,False
ISRAEL,ISRAEL,2,2,Country,Israel,False
JEAN BOLIKANGO,JEAN BOLIKANGO,2,2,Person,Jean Bolikango,False
JEAN MONNET,JEAN MONNET,2,2,Person,Jean Monnet,False
JOSEPH ILEO,JOSEPH ILEO,2,2,Person,Joseph Ileo,False
JULIO RIVERA,JULIO RIVERA,2,2,Person,Julio Rivera,False
KABUL,KABUL,2,2,Location,Kabul,False
KAMCHATKA PENINSULA,KAMCHATKA PENINSULA,2,2,Location,Kamchatka Peninsula,False
KATANGA PROVINCE,KATANGA,2,2,Location,Katanga Province,True
KENNEDY ADMINISTRATION,KENNEDY ADMINISTRATION,2,2,Government; Organization,Kennedy administration,False
KIBWE,KIBWE,2,2,Person,Kibwe,False
KING MOHAMED V,KING MOHAMED V,2,2,Person,King Mohamed V,False
KONG LE FORCES,KONG LE - PATHET LAO,2,2,Military,Kong Le forces,True
KOSYGIN,KOSYGIN,2,2,Person,Kosygin,False
LEOPOLDVILLE REGIME,LEOPOLDVILLE REGIME,2,2,Government,Leopoldville regime,False
LIBERIA,LIBERIA,2,2,Country,Liberia,False
LONDON,LONDON,2,2,Location,London,False
LUMUMBA REGIME,LUMUMBA REGIME,2,2,PoliticalGroup,Lumumba regime,False
LUMUMBA SUPPORTERS,LUMUMBA SUPPORTERS,2,2,PoliticalGroup,Lumumba supporters,False
MACLEOD,MACLEOD,2,2,Person,Macleod,False
MCKEOWN,MCKEOWN,2,2,Person,McKeown,False
MESSALI HADJ,MESSALI HADJ,2,2,Person,Messali Hadj,False
MOHAMED V,KING MOHAMED V,2,2,Person,Mohamed V,True
MOHAMMED BEN BELLA,MOHAMMED BEN BELLA,2,2,Person,Mohammed Ben Bella,False
MULELE,PIERRE MULELE,2,2,Person,Mulele,True
NATIONAL LIBERATION FRONT,NATIONAL LIBERATION FRONT,2,2,PoliticalGroup,National Liberation Front,False
NATIONAL UNION,NATIONAL UNION,2,2,PoliticalGroup,National Union,False
NEO LAO HAK SAT (NLHS),NEO LAO HAK SAT (NLHS),2,2,PoliticalGroup,Neo Lao Hak Sat (NLHS),False
NU,U NU,2,2,Person,Nu,True
ORGANIZATION OF AMERICAN STATES,ORGANIZATION OF AMERICAN STATES,2,2,Organization,Organization of American States,False
PAZ ESTENSSORO,PAZ ESTENSSORO,2,2,Person,Paz Estenssoro,False
PHOUI SANANIKONE,PHOUI SANANIKONE,2,2,Person,Phoui Sananikone,False
PHOUMI FORCES,PHOUMI FORCES,2,2,Military; PoliticalGroup,Phoumi forces,False
PHOUMI VONGVICHIT,PHOUMI VONGVICHIT,2,2,Person,Phoumi Vongvichit,False
PIERRE MULELE,PIERRE MULELE,2,2,Person,Pierre Mulele,False
PORTUGUESE AUTHORITIES,PORTUGUESE AUTHORITIES,2,2,Government,Portuguese authorities,False
PRESIDENT FRONDIZI,PRESIDENT FRONDIZI,2,2,Person,President Frondizi,False
PRESIDENT KASAVUBU,KASAVUBU,2,2,Person,President Kasavubu,True
PRESIDENT NASIR,NASIR,2,2,Person,President Nasir,True
PRO-CASTRO ELEMENTS,PRO-CASTRO ELEMENTS,2,2,PoliticalGroup,pro-Castro elements,False
PROVISIONAL ALGERIAN GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,2,2,Government; PoliticalGroup,Provisional Algerian Government,False
PUSHKIN,PUSHKIN,2,2,Person,Pushkin,False
QUADROS,JANIO QUADROS,2,2,Person,Quadros,True
SANTA MARIA,SANTA MARIA,2,2,Other,Santa Maria,False
SHAH OF IRAN,SHAH,2,2,Person,Shah of Iran,True
SINO-SOVIET BLOC,SOVIET BLOC,2,2,PoliticalGroup,Sino-Soviet bloc,True
SOUPHANNOUVONG,PRINCE SOUPHANNOUVONG,2,2,Person,Souphannouvong,True
SOUTH AFRICAN GOVERNMENT,SOUTH AFRICAN GOVERNMENT,2,2,Government,South African Government,False
SOUVANNA PHOUMA GOVERNMENT,SOUVANNA PHOUMA GOVERNMENT,2,2,Government; PoliticalGroup,Souvanna Phouma government,False
SOVIET EMBASSY,SOVIET EMBASSY,2,2,Organization,Soviet Embassy,False
SOVIET PARTY CENTRAL COMMITTEE,SOVIET PARTY CENTRAL COMMITTEE,2,2,Organization; PoliticalGroup,Soviet party central committee,False
SPUTNIK VII,SPUTNIK VII,2,2,Document,Sputnik VII,False
STANLEYVILLE REGIME,GIZENGAS STANLEYVILLE REGIME,2,2,Government; PoliticalGroup,Stanleyville regime,True
SUBANDRIO,SUBANDRIO,2,2,Person,Subandrio,False
THOMAZ,THOMAZ,2,2,Person,Thomaz,False
TOKYO,TOKYO,2,2,Location,Tokyo,False
TSHOMBÉS GOVERNMENT,TSHOMBÉS GOVERNMENT,2,2,Government,Tshombé's government,False
TUNIS,TUNIS,2,2,Location,Tunis,False
U NU,U NU,2,2,Person,U Nu,False
UAR NATIONAL ASSEMBLY,UAR NATIONAL ASSEMBLY,2,2,Organization,UAR National Assembly,False
UK,UK,2,2,Country,UK,False
ULAN BATOR,ULAN BATOR,2,2,Location,Ulan Bator,False
UNION MINIERE,UNION MINIERE,2,2,Organization,Union Miniere,False
UNITED STATES AIR FORCE,UNITED STATES AIR FORCE,2,2,Military,United States Air Force,False
UNITED STATES ARMY,UNITED STATES ARMY,2,2,Military,United States Army,False
UNITED STATES NAVY,UNITED STATES NAVY,2,2,Military,United States Navy,False
US EMBASSY IN MOSCOW,US EMBASSY IN MOSCOW,2,2,Organization,US Embassy in Moscow,False
VIETNAMESE,VIETNAMESE,2,2,Military; Other,Vietnamese,False
YEMEN,YEMEN,2,2,Country,Yemen,False
YOULOU,YOULOU,2,2,Person,Youlou,False
YUGOSLAVIA,YUGOSLAVIA,2,2,Country,Yugoslavia,False
YUNNAN PROVINCE,YUNNAN PROVINCE,2,2,Location,Yunnan Province,False
ABBOUD,ABBOUD,2,1,Person,Abboud,False
ALFONS GORBACH,ALFONS GORBACH,2,1,Person,Alfons Gorbach,False
ALGIERS,ALGIERS,2,1,Location,Algiers,False
ALI ABU NUWAR,ALI ABU NUWAR,2,1,Person,Ali Abu Nuwar,False
ANICET KASHAMURA,ANICET KASHAMURA,2,1,Person,Anicet Kashamura,False
BANDARANAIKE,MRS. BANDARANAIKE,2,1,Person,Bandaranaike,True
BELGIAN MILITARY,BELGIAN MILITARY,2,1,Military,Belgian military,False
BEN-GURION,BEN-GURION,2,1,Person,Ben-Gurion,False
BENEDIKTOV,BENEDIKTOV,2,1,Person,Benediktov,False
BERTHOLD BEITZ,BERTHOLD BEITZ,2,1,Person,Berthold Beitz,False
BHUTAN,BHUTAN,2,1,Country; Location,Bhutan,False
BRITISH CAMEROONS,BRITISH CAMEROONS,2,1,Location,British Cameroons,False
CHIRIBOGA,JOSE CHIRIBOGA,2,1,Person,Chiriboga,True
DMITRY POLYANSKY,DMITRY POLYANSKY,2,1,Person,Dmitry Polyansky,False
DUTT,DUTT,2,1,Person,Dutt,False
EGYPTIAN NATIONAL BANK,EGYPTIAN NATIONAL BANK,2,1,Organization,Egyptian National Bank,False
FEDERATION OF RHODESIA AND NYASALAND,FEDERATION OF RHODESIA AND NYASALAND,2,1,PoliticalGroup,Federation of Rhodesia and Nyasaland,False
FRONDIZI,PRESIDENT FRONDIZI,2,1,Person,Frondizi,True
GENERAL AMIR-AZIZI,GENERAL AMIR-AZIZI,2,1,Person,General Amir-Azizi,False
GENERAL FRANCO,GENERAL FRANCO,2,1,Person,General Franco,False
GENERAL MCKEOWN,MCKEOWN,2,1,Person,General McKeown,True
GOMULKA,GOMULKA,2,1,Person,Gomulka,False
GUATEMALA,GUATEMALA,2,1,Country,Guatemala,False
HAILE SELASSIE,HAILE SELASSIE,2,1,Person,Haile Selassie,False
HAITI,HAITI,2,1,Country,Haiti,False
HENRIQUE GALVAO,HENRIQUE GALVAO,2,1,Person,Henrique Galvao,False
ICHIRO KONO,ICHIRO KONO,2,1,Person,Ichiro Kono,False
ISFAHAN,ISFAHAN,2,1,Location,Isfahan,False
JOSE CHIRIBOGA,JOSE CHIRIBOGA,2,1,Person,Jose Chiriboga,False
KARAMANLIS GOVERNMENT,KARAMANLIS GOVERNMENT,2,1,Government,Karamanlis government,False
KASAVUBU/MOBUTU GOVERNMENT,KASAVUBU/MOBUTU GOVERNMENT,2,1,Government,Kasavubu/Mobutu government,False
KING BAUDOUIN,KING BAUDOUIN,2,1,Person,King Baudouin,False
KING SAUD,KING SAUD,2,1,Person,King Saud,False
KOMMUNIST,KOMMUNIST,2,1,Document,Kommunist,False
KONG LE/PATHET LAO,KONG LE - PATHET LAO,2,1,Military,Kong Le/Pathet Lao,True
LUMUMBIST FORCES,LUMUMBIST FORCES,2,1,PoliticalGroup,Lumumbist forces,False
LUNS,LUNS,2,1,Person,Luns,False
MAKARIOS,MAKARIOS,2,1,Person,Makarios,False
MARIANI,MARIANI,2,1,Person,Mariani,False
MONGOLIA,MONGOLIA,2,1,Country,Mongolia,False
MOROCCAN GOVERNMENT,MOROCCAN GOVERNMENT,2,1,Government,Moroccan Government,False
MRS. BANDARANAIKE,MRS. BANDARANAIKE,2,1,Person,Mrs. Bandaranaike,False
MUNONGO,MUNONGO,2,1,Person,Munongo,False
PAKISTANI GOVERNMENT,PAKISTANI GOVERNMENT,2,1,Government,Pakistani Government,False
PATNA,PATNA,2,1,Location,Patna,False
PERONISTAS,PERONISTAS,2,1,PoliticalGroup,Peronistas,False
PHAM VAN DONG,PHAM VAN DONG,2,1,Person,Pham Van Dong,False
PRESIDENT THOMAZ,THOMAZ,2,1,Person,President Thomaz,True
PUSHTOONISTAN,PUSHTOONISTAN,2,1,Other,Pushtoonistan,False
REPUBLIC OF GUINEA,REPUBLIC OF GUINEA,2,1,Country,Republic of Guinea,False
REPUBLIC OF MALI,REPUBLIC OF MALI,2,1,Country,Republic of Mali,False
SARY SHAGAN TEST COMPLEX,SARY SHAGAN TEST COMPLEX,2,1,Location,Sary Shagan test complex; Sary Shagan Test Complex,False
SERRANO,SERRANO,2,1,Person,Serrano,False
SIDDIQ AL-MAHDI,SIDDIQ AL-MAHDI,2,1,Person,Siddiq al-Mahdi,False
SIKKIM,SIKKIM,2,1,Country; Location,Sikkim,False
SOCIAL DEMOCRATIC PARTY (SPD),SOCIAL DEMOCRATIC PARTY (SPD),2,1,PoliticalGroup,Social Democratic party (SPD),False
SPANISH SAHARA,SPANISH SAHARA,2,1,Location,Spanish Sahara,False
STRAUSS,STRAUSS,2,1,Person,Strauss,False
SWEDEN,SWEDEN,2,1,Country,Sweden,False
TAIEB SABHANI,TAIEB SABHANI,2,1,Person,Taieb Sabhani,False
TANGANYIKA,TANGANYIKA,2,1,Country,Tanganyika,False
TSAMKONG,TSAMKONG,2,1,Location,Tsamkong,False
UKRAINE,UKRAINE,2,1,Location,Ukraine,False
VELASCO,VELASCO,2,1,Person,Velasco,False
VILLEDA,VILLEDA,2,1,Person,Villeda,False
WALTER LIPPMANN,WALTER LIPPMANN,2,1,Person,Walter Lippmann,False
ZERI I POPULLIT,ZERI I POPULLIT,2,1,Document,Zeri i Popullit,False
1954 GENEVA AGREEMENT,1954 GENEVA AGREEMENT,1,1,Document,1954 Geneva agreement,False
1ST INFANTRY DIVISION,1ST INFANTRY DIVISION,1,1,Military,1st Infantry Division,False
ABDULLAH RIMAWI,ABDULLAH RIMAWI,1,1,Person,Abdullah Rimawi,False
ADENAUERS PARTY,ADENAUERS PARTY,1,1,PoliticalGroup,Adenauer's party,False
ADMIRAL MARTADINATA,ADMIRAL MARTADINATA,1,1,Person,Admiral Martadinata,False
ADOULA,ADOULA,1,1,Person,Adoula,False
ADRIANO MOREIRA,ADRIANO MOREIRA,1,1,Person,Adriano Moreira,False
AFGHAN ARMY,AFGHAN ARMY,1,1,Military,Afghan Army,False
AFGHAN ARMY UNIFORM FACTORY,AFGHAN ARMY UNIFORM FACTORY,1,1,Organization,Afghan army uniform factory,False
AFONSO ARINOS,ARINOS,1,1,Person,Afonso Arinos,True
AFRICAN EXILE GROUPS,AFRICAN EXILE GROUPS,1,1,PoliticalGroup,African exile groups,False
AFRICAN NATIONAL CONGRESS,AFRICAN NATIONAL CONGRESS,1,1,PoliticalGroup,African National Congress,False
AFRICAN NATIONAL CONGRESS (ANC),AFRICAN NATIONAL CONGRESS (ANC),1,1,PoliticalGroup,African National Congress (ANC),False
AFRICAN REVOLUTIONARY FRONT FOR THE INDEPENDENCE OF PORTUGUESE COLONIES IN AFRICA,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,1,1,Organization,African Revolutionary Front for the Independence of Portuguese Colonies in Africa,True
AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,1,1,PoliticalGroup,African Revolutionary Front for the National Independence of Portuguese Colonies,False
AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN),AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES (FRAIN),1,1,PoliticalGroup,African Revolutionary Front for the National Independence of Portuguese Colonies (FRAIN),False
AFRO-ASIAN STATES,AFRO-ASIAN STATES,1,1,PoliticalGroup,Afro-Asian states,False
AHIDJO,AHIDJO,1,1,Person,Ahidjo,False
AIR FORCE COMMANDER,AIR FORCE COMMANDER,1,1,Person,air force commander,False
AIR MARSHAL SURYADARMA,AIR MARSHAL SURYADARMA,1,1,Person,Air Marshal Suryadarma,False
AKIF FAYIZ,AKIF FAYIZ,1,1,Person,Akif Fayiz,False
AKO ADJEI,AKO ADJEI,1,1,Person,Ako Adjei,False
ALBANIAN PARTY CONGRESS,ALBANIAN PARTY CONGRESS,1,1,Document,Albanian party congress,False
ALBANIAN WORKERS (COMMUNIST) PARTY,ALBANIAN WORKERS (COMMUNIST) PARTY,1,1,PoliticalGroup,Albanian Workers' (Communist) party,False
ALBERT DELVAUX,ALBERT DELVAUX,1,1,Person,Albert Delvaux,False
ALBERT KALONJI,KALONJI,1,1,Person,Albert Kalonji,True
ALDO MORO,ALDO MORO,1,1,Person,Aldo Moro,False
ALEXANDER,GENERAL ALEXANDER,1,1,Person,Alexander,True
ALGERIAN GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,1,1,Government,Algerian government,True
ALGERIAN NATIONAL MOVEMENT (MNA),ALGERIAN NATIONAL MOVEMENT (MNA),1,1,PoliticalGroup,Algerian National Movement (MNA),False
ALGERIAN PROVISIONAL GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,1,1,Government,Algerian Provisional Government,True
ALGERIAN PROVISIONAL GOVERNMENT (PAG),PROVISIONAL ALGERIAN GOVERNMENT,1,1,PoliticalGroup,Algerian provisional government (PAG),True
ALGERIAN REBEL GOVERNMENT,ALGERIAN REBEL GOVERNMENT,1,1,PoliticalGroup,Algerian rebel government,False
ALIONE DIAKITE,ALIONE DIAKITE,1,1,Person,Alione Diakite,False
AMBASSADOR DRUMRIGHT,AMBASSADOR DRUMRIGHT,1,1,Person,Ambassador Drumright,False
AMBASSADOR LODGE,AMBASSADOR LODGE,1,1,Person,Ambassador Lodge,False
AMBASSADOR REISCHAUER,AMBASSADOR REISCHAUER,1,1,Person,Ambassador Reischauer,False
AMERICAN AMBASSADOR JOHNSON,AMERICAN AMBASSADOR,1,1,Person,American ambassador Johnson,True
AMERICAN CONSUL GENERAL IN SALISBURY,AMERICAN CONSUL GENERAL IN SALISBURY,1,1,Person,American consul general in Salisbury,False
AMERICAN CONSULATE GENERAL IN HONG KONG,AMERICAN CONSULATE GENERAL IN HONG KONG,1,1,Organization,American Consulate General in Hong Kong,False
AMERICAN EMBASSY AT CAPETOWN,AMERICAN EMBASSY,1,1,Organization,American Embassy at Capetown,True
AMERICAN EMBASSY IN LEOPOLDVILLE,AMERICAN EMBASSY IN LEOPOLDVILLE,1,1,Organization,American Embassy in Leopoldville,False
AMERICAN EMBASSY IN TUNIS,AMERICAN EMBASSY,1,1,Organization,American Embassy in Tunis,True
ANDHRA PRADESH,ANDHRA PRADESH,1,1,Location,Andhra Pradesh,False
ANDRE RENARD,ANDRE RENARD,1,1,Person,Andre Renard,False
ANGLO-AMERICAN CONSORTIUM,ANGLO-AMERICAN CONSORTIUM,1,1,Organization,Anglo-American consortium,False
ANGLO-ITALIAN NEGOTIATING TEAM,ANGLO-ITALIAN NEGOTIATING TEAM,1,1,Organization,Anglo-Italian negotiating team,False
ANGOLA PEOPLES UNION,ANGOLAN PEOPLES UNION (UPA),1,1,PoliticalGroup,Angola People's Union,True
ANSAR,ANSAR SECT,1,1,ReligiousGroup,Ansar,True
ANSAR SECT,ANSAR SECT,1,1,ReligiousGroup,Ansar sect,False
ANTI-COMMUNIST TEACHERS,ANTI-COMMUNIST TEACHERS,1,1,Other,anti-Communist teachers,False
ANTI-FASCIST PEOPLES FREEDOM LEAGUE,ANTI-FASCIST PEOPLES FREEDOM LEAGUE,1,1,PoliticalGroup,Anti-Fascist People's Freedom League,False
ANTIGOVERNMENT,ANTIGOVERNMENT,1,1,PoliticalGroup,Antigovernment,False
ANTONIO PINTO BARBOSA,ANTONIO PINTO BARBOSA,1,1,Person,Antonio Pinto Barbosa,False
APRIL AND MAY REVOLUTIONARY PARTY,APRIL AND MAY REVOLUTIONARY PARTY,1,1,PoliticalGroup,April and May Revolutionary party,False
ARBENZ,ARBENZ,1,1,Person,Arbenz,False
ARDESHIR ZAHEDI,ARDESHIR ZAHEDI,1,1,Person,Ardeshir Zahedi,False
ARMANDO VELASQUEZ,ARMANDO VELASQUEZ,1,1,Person,Armando Velasquez,False
ARMED FORCES,ARMED FORCES,1,1,Military,armed forces,False
ASIA,ASIA,1,1,Location,Asia,False
ATAMAN,ATAMAN,1,1,Person,Ataman,False
ATHENS,ATHENS,1,1,Location,Athens,False
AUNG GYI,BRIGADIER AUNG GYI,1,1,Person,Aung Gyi,True
AUNG SHWE,AUNG SHWE,1,1,Person,Aung Shwe,False
AUTHENTIC MNR,AUTHENTIC MNR,1,1,PoliticalGroup,Authentic MNR,False
AVRO,AVRO,1,1,Organization,AVRO,False
AYUB KHAN,AYUB KHAN,1,1,Person,Ayub Khan,False
AYUB REGIME,AYUB REGIME,1,1,Government,Ayub regime,False
AZORES BASES AGREEMENT,AZORES BASES AGREEMENT,1,1,Other,Azores bases agreement,False
B. P. KOIRALA,KOIRALA,1,1,Person,B. P. Koirala,True
BAATH PARTY,BAATH PARTY,1,1,PoliticalGroup,Baath party,False
BADR,BADR,1,1,Person,Badr,False
BAGHDAD MILITARY COURT,BAGHDAD MILITARY COURT,1,1,Organization,Baghdad military court,False
BAGHDAD UNIVERSITY,BAGHDAD UNIVERSITY,1,1,Organization,Baghdad University,False
BAJAUR REGION,BAJAUR REGION,1,1,Location,Bajaur region,False
BALEWA,BALEWA,1,1,Person,Balewa,False
BALUBA FORCES,BALUBA FORCES,1,1,Military,Baluba forces,False
BALUBA IRREGULARS,BALUBA IRREGULARS,1,1,Military,Baluba irregulars,False
BAN PHA PHO,BAN PHA PHO,1,1,Location,Ban Pha Pho,False
BANI SAKHIR,BANI SAKHIR,1,1,Other,Bani Sakhir,False
BANI SAKHIR BEDOUIN TRIBE,BANI SAKHIR BEDOUIN TRIBE,1,1,Other,Bani Sakhir Bedouin tribe,False
BANK OF CHINA,BANK OF CHINA,1,1,Organization,Bank of China,False
BARROSO,BARROSO,1,1,Person,Barroso,False
BAYAR,BAYAR,1,1,Person,Bayar,False
BELGIAN ARMY,BELGIAN ARMY,1,1,Military,Belgian Army,False
BELGIAN DEFENSE MINISTRY,BELGIAN DEFENSE MINISTRY,1,1,Organization,Belgian Defense Ministry,False
BELGIAN FOREIGN MINISTRY,BELGIAN FOREIGN MINISTRY,1,1,Government,Belgian Foreign Ministry,False
BELGIAN GOVERNMENT,BELGIAN GOVERNMENT,1,1,Government,Belgian Government,False
BELGIAN MILITARY ADVISERS,BELGIAN MILITARY,1,1,Military,Belgian military advisers,True
BELGIAN TRUST TERRITORY OF RUANDA,BELGIAN TRUST TERRITORY OF RUANDA-URUNDI,1,1,Location,Belgian trust territory of Ruanda,True
BELGIAN TRUST TERRITORY OF RUANDA-URUNDI,BELGIAN TRUST TERRITORY OF RUANDA-URUNDI,1,1,Location,Belgian trust territory of Ruanda-Urundi,False
BELGIAN-CONTROLLED MINING COMPANY,BELGIAN-CONTROLLED MINING COMPANY,1,1,Organization,Belgian-controlled mining company,False
BELGRADE,BELGRADE,1,1,Location,Belgrade,False
BERLIN,BERLIN,1,1,Location,Berlin,False
BETANCOURT,PRESIDENT BETANCOURT,1,1,Person,Betancourt,True
BIG FOUR,BIG FOUR,1,1,PoliticalGroup,Big Four,False
BISHOP DIBELIUS,BISHOP DIBELIUS,1,1,Person,Bishop Dibelius,False
BOGOTA,BOGOTA,1,1,Location,Bogota,False
BOLIVIAN GOVERNMENT,BOLIVIAN GOVERNMENT,1,1,Government,Bolivian Government,False
BOLZANO PROVINCE,BOLZANO PROVINCE,1,1,Location,Bolzano Province,False
BONN FOREIGN MINISTRY,BONN FOREIGN MINISTRY,1,1,Organization,Bonn Foreign Ministry,False
BOUN OUM - PHOUMI GOVERNMENT,BOUN OUM GOVERNMENT,1,1,Government,Boun Oum - Phoumi government,True
BOUN OUM REGIME,BOUN OUM REGIME,1,1,PoliticalGroup,Boun Oum regime,False
BOURGUIBAISM,BOURGUIBAISM,1,1,Other,Bourguibaism,False
BRAZZAVILLE,BRAZZAVILLE,1,1,Location,Brazzaville,False
BREZHNEV,BREZHNEV,1,1,Person,Brezhnev,False
BRIGADIER AUNG GYI,BRIGADIER AUNG GYI,1,1,Person,Brigadier Aung Gyi,False
BRITISH BONDHOLDERS,BRITISH BONDHOLDERS,1,1,Other,British bondholders,False
BRITISH COLONIAL SECRETARY MACLEOD,BRITISH COLONIAL SECRETARY MACLEOD,1,1,Person,British Colonial Secretary Macleod,False
BRITISH EMBASSY,BRITISH EMBASSY,1,1,Organization,British Embassy,False
BRITISH FOREIGN OFFICE,BRITISH FOREIGN OFFICE,1,1,Organization,British Foreign Office,False
BRITISH OFFICIALS,BRITISH OFFICIALS,1,1,Organization,British officials,False
BUKAVU,BUKAVU,1,1,Location,Bukavu,False
BULGARIA,BULGARIA,1,1,Country,Bulgaria,False
BURMA TRADE UNION CONGRESS,BURMA TRADE UNION CONGRESS,1,1,PoliticalGroup,Burma Trade Union Congress,False
C-47,C-47,1,1,Other,C-47,False
CAMARA PINA,CAMARA PINA,1,1,Person,Camara Pina,False
CAMEROONS,BRITISH CAMEROONS,1,1,Location,Cameroons,True
CANADA,CANADA,1,1,Country,Canada,False
CANADIAN COMMUNICATIONS PERSONNEL,CANADIAN COMMUNICATIONS PERSONNEL,1,1,Other,Canadian communications personnel,False
CANADIAN DELEGATION,CANADIAN DELEGATION,1,1,PoliticalGroup,Canadian delegation,False
CANARY ISLANDS,CANARY ISLANDS,1,1,Location,Canary Islands,False
CAPE VERDE,CAPE VERDE,1,1,Location,Cape Verde,False
CAPE VERDE ISLANDS,CAPE VERDE ISLANDS,1,1,Location,Cape Verde Islands,False
CASABLANCA CONFERENCE,CASABLANCA CONFERENCE,1,1,Document,Casablanca Conference,False
CASTILLO NAVARRETE,COL. CASTILLO NAVARRETE,1,1,Person,Castillo Navarrete,True
CATHOLIC CHURCH,ROMAN CATHOLIC CHURCH,1,1,ReligiousGroup,Catholic Church,True
CENTO,CENTO,1,1,Organization,CENTO,False
CENTRAL COMMITTEE,SOVIET PARTY CENTRAL COMMITTEE,1,1,Organization,Central Committee,True
CENTRAL STATISTICAL BOARD,CENTRAL STATISTICAL BOARD,1,1,Organization,Central Statistical Board,False
CEYLONESE FINANCE MINISTER,CEYLONESE FINANCE MINISTER,1,1,Person,Ceylonese finance minister,False
"CHAIRMAN, ATOMIC ENERGY COMMISSION","CHAIRMAN, ATOMIC ENERGY COMMISSION",1,1,Person,"Chairman, Atomic Energy Commission",False
CHANG ADMINISTRATION,CHANG ADMINISTRATION,1,1,Government,Chang administration,False
CHANG GOVERNMENT,CHANG MYON GOVERNMENT,1,1,Government,Chang government,True
CHARLES DE GAULLE,CHARLES DE GAULLE,1,1,Person,Charles de Gaulle,False
CHE GUEVARA,CHE GUEVARA,1,1,Person,Che Guevara,False
CHIEF LUTHULI,CHIEF LUTHULI,1,1,Person,Chief Luthuli,False
CHIN,CHIN,1,1,Other,Chin,False
CHINESE COMMUNIST FORCES,CHINESE COMMUNIST FORCES,1,1,Military,Chinese Communist forces,False
CHINESE COMMUNIST GOVERNMENT,CHINESE COMMUNIST GOVERNMENT,1,1,Government,Chinese Communist Government,False
CHINESE COMMUNIST NAVY,CHINESE COMMUNIST NAVY,1,1,Military,Chinese Communist Navy,False
CHINESE COMMUNIST PARTY,CHINESE COMMUNIST PARTY,1,1,PoliticalGroup,Chinese Communist Party,False
CHINESE COMMUNIST TROOPS,CHINESE COMMUNIST TROOPS,1,1,Military,Chinese Communist troops,False
CHINESE NATIONALIST AIR FORCE,CHINESE NATIONALIST AIR FORCE,1,1,Military,Chinese Nationalist Air Force,False
CHINESE NATIONALIST IRREGULAR FORCES,CHINESE NATIONALIST IRREGULARS,1,1,Military,Chinese Nationalist irregular forces,True
CHINESE NATIONALIST IRREGULAR TROOPS,CHINESE NATIONALIST IRREGULARS,1,1,Military,Chinese Nationalist irregular troops,True
CHINESE NATIONALIST OFFICIALS,CHINESE NATIONALIST OFFICIALS,1,1,PoliticalGroup,Chinese Nationalist officials,False
CHINESE NATIONALIST TROOPS,CHINESE NATIONALIST TROOPS,1,1,Military,Chinese Nationalist troops,False
CHINESE NATIONALISTS,CHINESE NATIONALISTS,1,1,PoliticalGroup,Chinese Nationalists,False
CHOSEN SOREN,CHOSEN SOREN,1,1,PoliticalGroup,Chosen Soren,False
CHOU,CHOU,1,1,Person,Chou,False
CHRISTIAN DEMOCRATIC UNION,CHRISTIAN DEMOCRATIC UNION,1,1,PoliticalGroup,Christian Democratic Union,False
CIUDAD TRUJILLO,CIUDAD TRUJILLO,1,1,Location,Ciudad Trujillo,False
CIVIL-MILITARY JUNTA,CIVIL-MILITARY JUNTA,1,1,Government,civil-military junta,False
CNU,COMMITTEE OF NATIONAL UNION,1,1,PoliticalGroup,CNU,True
COL. CASTILLO NAVARRETE,COL. CASTILLO NAVARRETE,1,1,Person,Col. Castillo Navarrete,False
COLOMBIAN COMMUNIST PARTY,COLOMBIAN COMMUNIST PARTY,1,1,PoliticalGroup,Colombian Communist party,False
COLOMBIAN FOREIGN MINISTER TURBAY,COLOMBIAN FOREIGN MINISTER TURBAY,1,1,Person,Colombian Foreign Minister Turbay,False
COLOMBIAN GOVERNMENT,COLOMBIAN GOVERNMENT,1,1,Government,Colombian Government,False
COLONEL CASTILLO NAVARETTE,COLONEL CASTILLO NAVARETTE,1,1,Person,Colonel Castillo Navarette,False
COLONEL KHAMOUANE,COLONEL KHAMOUANE,1,1,Person,Colonel Khamouane,False
COLONEL LOPEZ,COLONEL LOPEZ,1,1,Person,Colonel Lopez,False
