alias,canonical_label,notes
ALGERIAN PROVISIONAL GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,token_bag_match
HOLDEN ROBERTO,ROBERTO HOLDEN,token_bag_match
IRAQ PETROLEUM COMPANY (IPC),IRAQ PETROLEUM COMPANY,parenthetical_base_match
NATIONAL LIBERATION FRONT (FLN),NATIONAL LIBERATION FRONT,parenthetical_base_match
ORGANIZATION OF AMERICAN STATES (OAS),ORGANIZATION OF AMERICAN STATES,parenthetical_base_match
CNU,COMMITTEE OF NATIONAL UNION,acronym_match
IPC,IRAQ PETROLEUM COMPANY,acronym_match
KADU,KENYA AFRICAN DEMOCRATIC UNION,acronym_match
KANU,KENYA AFRICAN NATIONAL UNION,acronym_match
US,UNITED STATES,acronym_match
USIB,UNITED STATES INTELLIGENCE BOARD,acronym_match
