alias,canonical_label,notes
GENERAL K. S. THIMAYYA,THIMAYYA,lexical_context_similarity
US AMBASSADOR BRIGGS,AMBASSADOR BRIGGS,lexical_context_similarity
UNITED FRONT PARTY,UNITED FRONT,lexical_context_similarity
US AMBASSADOR SPARKS,AMBASSADOR SPARKS,lexical_context_similarity
SOVIET FOREIGN MINISTER GROMYKO,FOREIGN MINISTER GROMYKO,lexical_context_similarity
GENERAL AYUB KHAN,AYUB,lexical_context_similarity
MASJUMI PARTY,MASJUMI,lexical_context_similarity
MOROCCAN CROWN PRINCE MOULAY HASSAN,CROWN PRINCE MOULAY HASSAN,lexical_context_similarity
COURT MINISTER ALA,MINISTER OF COURT ALA,lexical_context_similarity
AFGHAN KING ZAHIR,KING ZAHIR SHAH,lexical_context_similarity
REPUBLIC OF MALI,MALI REPUBLIC,lexical_context_similarity
EX-PRESIDENT CHAMOUN,PRESIDENT CHAMOUN,lexical_context_similarity
STANDARD OIL OF NEW JERSEY,STANDARD OIL COMPANY OF NEW JERSEY,lexical_context_similarity
CUBAN CONFEDERATION OF WORKERS,CUBAN WORKERS CONFEDERATION,lexical_context_similarity
BRITISH FOREIGN SECRETARY EDEN,FOREIGN SECRETARY EDEN,lexical_context_similarity
HIGH AUTHORITY OF THE COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity
US AMBASSADOR TRIMBLE,AMBASSADOR TRIMBLE,lexical_context_similarity
ALGERIAN REBEL PROVISIONAL GOVERNMENT,ALGERIAN PROVISIONAL GOVERNMENT,lexical_context_similarity
SULTAN BEN ARAFA,SULTAN MOHAMED BEN ARAFA,lexical_context_similarity
BRITISH DEFENSE MINISTER SANDYS,DEFENSE MINISTER SANDYS,lexical_context_similarity
NATIONALIST TROOPS,CHINESE NATIONALIST,lexical_context_similarity
CARLOS TORANZO MONTERO,TORANZO MONTERO,lexical_context_similarity
R. G. SENANAYAKE,DUDLEY SENANAYAKE,lexical_context_similarity
GERMAN FINANCE MINISTER SCHAEFFER,FINANCE MINISTER SCHAEFFER,lexical_context_similarity
NEO-DESTOUR PARTY,NEO-DESTOUR,lexical_context_similarity
STATE ECONOMIC COMMISSION,USSR STATE ECONOMIC COMMISSION,lexical_context_similarity
ROMAN CATHOLIC CHURCH,CATHOLIC CHURCH,lexical_context_similarity
ALGERIAN NATIONAL REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,lexical_context_similarity
US AMBASSADOR BONSAL,AMBASSADOR BONSAL,lexical_context_similarity
PEIPING PEOPLES DAILY,PEOPLES DAILY,lexical_context_similarity
A. I. LAVRENTIEV,LAVRENTIEV,lexical_context_similarity
REDA GUEDIRA,AHMED REDA GUEDIRA,lexical_context_similarity
GONDJOUT,PAUL GONDJOUT,lexical_context_similarity
TURKISH PRIME MINISTER MENDERES,PRIME MINISTER MENDERES,lexical_context_similarity
M. A. SUSLOV,SUSLOV,lexical_context_similarity
IGNATIEV,S. D. IGNATIEV,lexical_context_similarity
HIGH COMMISSIONERS OFFICE,AMERICAN HIGH COMMISSIONERS OFFICE IN BONN,lexical_context_similarity
ITALIAN CHRISTIAN DEMOCRATIC PARTY,CHRISTIAN DEMOCRATIC PARTY,lexical_context_similarity
AUSTRIAN FOREIGN MINISTER GRUBER,FOREIGN MINISTER GRUBER,lexical_context_similarity
FOREIGN MINISTER COUVE DE MURVILLE,FRENCH FOREIGN MINISTER COUVE DE MURVILLE,lexical_context_similarity
RASCHID,U RASCHID,lexical_context_similarity
ALGERIAN NATIONAL LIBERATION FRONT (FLN),ALGERIAN NATIONAL LIBERATION FRONT,lexical_context_similarity
PEOPLES CONGRESS,NATIONAL PEOPLES CONGRESS,lexical_context_similarity
GREEK FOREIGN MINISTER AVEROFF,FOREIGN MINISTER AVEROFF,lexical_context_similarity
HIGH COMMISSIONER CONANT,US HIGH COMMISSIONER,lexical_context_similarity
MINISTRY OF EXTERNAL AFFAIRS,INDIAN MINISTRY OF EXTERNAL AFFAIRS,lexical_context_similarity
INDONESIAN UN DELEGATION,INDONESIAN DELEGATION,lexical_context_similarity
LEBANESE PRESIDENT CHAMOUN,PRESIDENT CHAMOUN,lexical_context_similarity
PHOUIS RALLY OF THE LAO PEOPLE,RALLY OF THE LAO PEOPLE,lexical_context_similarity
GREEK PRIME MINISTER PLASTIRAS,PRIME MINISTER PLASTIRAS,lexical_context_similarity
AMERICAN CONSUL GENERAL AT HONG KONG,AMERICAN CONSUL GENERAL,lexical_context_similarity
