alias,canonical_label,notes
SHELL MEX,SHELL,lexical_context_similarity
ANASTASE MIKOYAN,ANASTAS MIKOYAN,lexical_context_similarity
GOVERNOR HARRIMAN,HARRIMAN,lexical_context_similarity
OZDILEK,FAHRI OZDILEK,lexical_context_similarity
SOVIET UN DELEGATE VYSHINSKY,SOVIET UN DELEGATE,lexical_context_similarity
"COLONEL ANASTASIO SOMOZA, JR.",ANASTASIO SOMOZA,lexical_context_similarity
NISHIO,SUEHIRO NISHIO,lexical_context_similarity
VIETNAMESE COMMUNIST,VIETNAMESE COMMUNIST AGENTS,lexical_context_similarity
AMERICAN CONSUL GENERAL IN JERUSALEM,AMERICAN CONSUL GENERAL,lexical_context_similarity
MEKONG,MEKONG RIVER,lexical_context_similarity
WAFDIST YOUTH,WAFDIST,lexical_context_similarity
SILES ZUAZO,PRESIDENT SILES,lexical_context_similarity
WEST GERMAN SOCIAL DEMOCRATS,WEST GERMAN SOCIAL DEMOCRATIC PARTY,lexical_context_similarity
FRENCH PRESS,FRENCH PRESS AGENCY,lexical_context_similarity
MAJ. GENERAL MEHMET SHEHU,MEHMET SHEHU,lexical_context_similarity
"RAFAEL RAMFIS TRUJILLO, JR.",RAMFIS TRUJILLO,lexical_context_similarity
GENERAL ZIONIST,GENERAL ZIONISTS,lexical_context_similarity
PHALANGE,PHALANGE PARTY,lexical_context_similarity
COLONEL BANKS,COLONEL CYRIL BANKS,lexical_context_similarity
US AMBASSADOR BEAM,AMERICAN AMBASSADOR,lexical_context_similarity
SALAZARS REGIME,SALAZAR REGIME,lexical_context_similarity
NAHAS PASHA,NAHAS,lexical_context_similarity
WEST GERMAN FOREIGN MINISTER,WEST GERMAN FOREIGN MINISTER BRENTANO,lexical_context_similarity
AMERICAN MINISTER VILLARD,AMERICAN MINISTER,lexical_context_similarity
BRITISH MILITARY PLANNERS,BRITISH MILITARY,lexical_context_similarity
SYRIAS COMMUNIST PARTY,SYRIAN COMMUNIST PARTY,lexical_context_similarity
LUALABA STATE,LUALABA,lexical_context_similarity
CDU PARTY,CHRISTIAN DEMOCRATIC UNION,lexical_context_similarity
HERVE ALPHAND,ALPHAND,lexical_context_similarity
CAMEROONS,BRITISH CAMEROONS,lexical_context_similarity
MULLAH MUSTAFA AL-BARZANI,MULLA MUSTAFA BARZANI,lexical_context_similarity
PREMIER YOSHIDA,JAPANESE PREMIER YOSHIDA,lexical_context_similarity
FRENCH EMBASSY IN RABAT,FRENCH EMBASSY,lexical_context_similarity
YUGOSLAV ARMY DELEGATION,YUGOSLAV ARMY,lexical_context_similarity
AMERICAN EMBASSY IN HAVANA,AMERICAN EMBASSY,lexical_context_similarity
REUTER,MAYOR REUTER,lexical_context_similarity
MAMORU SHIGEMITSU,SHIGEMITSU,lexical_context_similarity
QUEUILLE,HENRI QUEUILLE,lexical_context_similarity
HENRI ROCHEREAU,SENATOR HENRI ROCHEREAU,lexical_context_similarity
A. G. ZVEREV,ARSEN ZVEREV,lexical_context_similarity
FRENCH PRESIDENT,PRESIDENT COTY,lexical_context_similarity
GEORGE BIDAULT,BIDAULT,lexical_context_similarity
JOSEPH ILEO,ILEO,lexical_context_similarity
GENERAL MIGUEL YDIGORAS FUENTES,MIGUEL YDIGORAS FUENTES,lexical_context_similarity
GREEK CYPRIOT,GREEK CYPRIOTS,lexical_context_similarity
AMERICAN CONSULATE GENERAL IN HONG KONG,US CONSUL GENERAL IN HONG KONG,lexical_context_similarity
PRIO SOCARRAS,CARLOS PRIO SOCARRAS,lexical_context_similarity
AUSTRIAN CHANCELLOR JULIUS RAAB,CHANCELLOR RAAB,lexical_context_similarity
KHALIL BAKDASH,KHALID BAKDASH,lexical_context_similarity
ROA,RAUL ROA,lexical_context_similarity
INDIAN FOOD AND AGRICULTURE MINISTRY,INDIAN FOOD MINISTRY,lexical_context_similarity
JAPANS SOCIALIST PARTY,JAPANESE SOCIALIST PARTY,lexical_context_similarity
GRAND ASSEMBLY OF TRIBES (LOE JIRGA),GRAND ASSEMBLY OF THE TRIBES,lexical_context_similarity
MUHAMMED BEN UTHMAN,MUHAMMAD BEN UTHMAN,lexical_context_similarity
ISRAEL ARMY,ISRAELI ARMY,lexical_context_similarity
KING TALAL OF JORDAN,KING TALAL,lexical_context_similarity
PRINCE BOUN OUM NA CHAMPASSAK,BOUN OUM,lexical_context_similarity
BOLIVIAN NATIONAL REVOLUTIONARY MOVEMENT (MNR),NATIONALIST REVOLUTIONARY MOVEMENT (MNR),lexical_context_similarity
AFRO-ASIAN SOLIDARITY MOVEMENT,AFRO-ASIAN SOLIDARITY COMMITTEE,lexical_context_similarity
ARAB REFUGEES,PALESTINIAN ARAB REFUGEES,lexical_context_similarity
JAPANESE SOCIALIST PARTIES,JAPANESE SOCIALIST PARTY,lexical_context_similarity
FOREIGN AFFAIRS COMMITTEE,BUNDESTAG FOREIGN AFFAIRS COMMITTEE,lexical_context_similarity
VELASQUEZ,ARMANDO VELASQUEZ,lexical_context_similarity
"SALISBURY, SOUTHERN RHODESIA",SOUTHERN RHODESIA,lexical_context_similarity
IRANIAN NATIONAL OIL COMPANY,NATIONAL IRANIAN OIL COMPANY,lexical_context_similarity
SOCIAL DEMOCRATS (SPD),SOCIAL DEMOCRATIC PARTY,lexical_context_similarity
26TH OF JULY MOVEMENT,26 OF JULY MOVEMENT,lexical_context_similarity
GUILLAUME,RESIDENT GENERAL GUILLAUME,lexical_context_similarity
AMERICAN AMBASSADOR TO THAILAND,AMERICAN AMBASSADOR,lexical_context_similarity
HAWRANI,AKRAM HAWRANI,lexical_context_similarity
CUBAN EMBASSY IN QUITO,CUBAN EMBASSY,lexical_context_similarity
PRESIDENT LEMUS,SALVADORAN PRESIDENT LEMUS,lexical_context_similarity
BRITISH SECURITY FORCES,BRITISH FORCES,lexical_context_similarity
AMERICAN LEGATION IN BUCHAREST,AMERICAN LEGATION,lexical_context_similarity
BRITISH EMBASSY IN PEIPING,BRITISH EMBASSY,lexical_context_similarity
CUBAN EMBASSY IN PANAMA,CUBAN EMBASSY,lexical_context_similarity
NANCHANG NEW,NANCHANG NEW AIRFIELD,lexical_context_similarity
SOCIALIST MASSES PARTY,OKINAWA SOCIALIST MASSES PARTY,lexical_context_similarity
NESTEROV,V.M. NESTEROV,lexical_context_similarity
QASHQAI TRIBES,QASHQAI,lexical_context_similarity
ABUL HUDA,TAWFIQ ABUL HUDA,lexical_context_similarity
MOSHE SHARET,SHARETT,lexical_context_similarity
AMERICAN ARMY,AMERICAN ARMY ATTACHÉ,lexical_context_similarity
BEN BARKA,MEHDI BEN BARKA,lexical_context_similarity
SOKOLOVSKY,VASILY SOKOLOVSKY,lexical_context_similarity
CHINESE COMMUNIST OFFICIALS,CHINESE COMMUNIST,lexical_context_similarity
JONASSON,HERMANN JONASSON,lexical_context_similarity
KENYATTA,JOMO KENYATTA,lexical_context_similarity
LIEUTENANT GENERAL CHANG TO-YONG,CHANG TO-YONG,lexical_context_similarity
EINAR GERHARDSEN,GERHARDSEN,lexical_context_similarity
SHAWKAT SHUQAYR,SHUQAYR,lexical_context_similarity
GHOSH,AJOY GHOSH,lexical_context_similarity
MATSUMURA,KENZO MATSUMURA,lexical_context_similarity
GASTON EYSKENS,EYSKENS,lexical_context_similarity
GOODYEAR WINGFOOT,GOODYEARS WINGFOOT ESTATE,lexical_context_similarity
US CONSUL IN HANOI,AMERICAN CONSUL,lexical_context_similarity
AMERICAN EMBASSY IN LA PAZ,AMERICAN EMBASSY,lexical_context_similarity
AMERICAN EMBASSY IN BAGHDAD,AMERICAN EMBASSY,lexical_context_similarity
ANDREI VYSHINSKY,VYSHINSKY,lexical_context_similarity
BRIGADIER ABD AL-RAHIM SHANNAN,BRIGADIER SHANNAN,lexical_context_similarity
DHAHRAN AIRFIELD,DHAHRAN,lexical_context_similarity
PERUVIAN PRESIDENT PRADO,PRADO,lexical_context_similarity
NHOUY,NHOUY ABHAY,lexical_context_similarity
PRESIDENT KEITA,MODIBO KEITA,lexical_context_similarity
FRANCIS LACOSTE,LACOSTE,lexical_context_similarity
CHRISTIAN DEMOCRATS,CHRISTIAN DEMOCRATIC PARTY,lexical_context_similarity
GOVERNMENT,ALI GOVERNMENT,lexical_context_similarity
US EMBASSY IN NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity
ALI JAWDAT AYYUBI,ALI JAWDAT,lexical_context_similarity
SCHUMANN,MAURICE SCHUMANN,lexical_context_similarity
AFGHAN KING,KING ZAHIR SHAH,lexical_context_similarity
KWANGTUNG PROVINCE,KWANGTUNG,lexical_context_similarity
LAZAR M. KAGANOVICH,KAGANOVICH,lexical_context_similarity
UNDER SECRETARY OF STATE FOR ECONOMIC AFFAIRS,UNDER SECRETARY OF STATE,lexical_context_similarity
UNITED WORKERS PARTY,POLISH UNITED WORKERS PARTY,lexical_context_similarity
AGRAMONTE,ROBERTO AGRAMONTE,lexical_context_similarity
EAST GERMAN SOCIALIST UNITY PARTY (SED),EAST GERMAN COMMUNIST PARTY,lexical_context_similarity
AFIF BIZRI,LT. GEN. AFIF BIZRI,lexical_context_similarity
BEN UTHMAN,MUHAMMAD BEN UTHMAN,lexical_context_similarity
AMERICAN EMBASSY IN PRAGUE,US EMBASSY IN PRAGUE,lexical_context_similarity
CONGO NATIONAL MOVEMENT,NATIONAL CONGO MOVEMENT (MNC),lexical_context_similarity
TODOR ZHIVKOV,ZHIVKOV,lexical_context_similarity
MARKO,RITA MARKO,lexical_context_similarity
PRIME MINISTER BEN GURION,PRIME MINISTER BEN-GURION,lexical_context_similarity
SOCIALIST LEADER MOLLET,FRENCH SOCIALIST LEADER GUY MOLLET,lexical_context_similarity
AUGUST DE SCHRIJVER,DE SCHRIJVER,lexical_context_similarity
ITALIAN FOREIGN OFFICE,ITALIAN FOREIGN MINISTRY,lexical_context_similarity
FRENCH AMBASSADOR MASSIGLI,FRENCH AMBASSADOR,lexical_context_similarity
STANDARD OIL COMPANY (N. J.),STANDARD OIL COMPANY OF NEW JERSEY,lexical_context_similarity
AL-TABI,MUHAMMAD AL-TABI,lexical_context_similarity
PRESIDENT KEKKONON,KEKKONEN,lexical_context_similarity
RUSLAN ABDULGANI,ABDULGANI,lexical_context_similarity
FORMOSA STRAIT,FORMOSA STRAITS,lexical_context_similarity
IZMET INONU,ISMET INONU,lexical_context_similarity
LAOTIAN INTERNATIONAL CONTROL COMMISSION (ICC),INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
TASHKO,KOCO TASHKO,lexical_context_similarity
AN-12,SOVIET AN-12,lexical_context_similarity
BELGIAN FORCES,BELGIAN MILITARY,lexical_context_similarity
GILBERT GRANDVAL,GRANDVAL,lexical_context_similarity
FRENCH AMBASSADOR FALAIZE,FRENCH AMBASSADOR,lexical_context_similarity
NEPAL CONGRESS PARTY,NEPALI CONGRESS,lexical_context_similarity
MARSHAL VOROSHILOV,VOROSHILOV,lexical_context_similarity
COMINFORM COMMUNISTS,COMINFORM,lexical_context_similarity
VANG VIEN,VANG VIENG,lexical_context_similarity
TYURA TAM/KLYUCHI,TYURA TAM,lexical_context_similarity
ITALIAN SOCIALISTS,ITALIAN SOCIALIST PARTY,lexical_context_similarity
BARLIAN,LT. COL. BARLIAN,lexical_context_similarity
ROLANDO DIAZ,ROLANDO DIAZ ASTARAIN,lexical_context_similarity
INDIAN CONSUL GENERAL,INDIAN CONSUL GENERAL KAMATH,lexical_context_similarity
US EMBASSY IN VIENTIANE,AMERICAN EMBASSY,lexical_context_similarity
US EMBASSY IN CARACAS,AMERICAN EMBASSY,lexical_context_similarity
SALAM,SAIB SALAM,lexical_context_similarity
AMBASSADOR SMITH,AMERICAN AMBASSADOR SMITH,lexical_context_similarity
NICARAGUAN NATIONAL GUARD,NATIONAL GUARD,lexical_context_similarity
VICE PRESIDENT NIXON,THE VICE PRESIDENT,lexical_context_similarity
THE GOVERNMENT,BRITISH GOVERNMENT,lexical_context_similarity
KEITA,MODIBO KEITA,lexical_context_similarity
GAULLIST,GAULLIST PARTY,lexical_context_similarity
US ARMY ATTACHE,AMERICAN ARMY ATTACHÉ,lexical_context_similarity
GUATEMALAN PRESIDENT,PRESIDENT ARBENZ,lexical_context_similarity
BENGKALIS,BENGKALIS ISLAND,lexical_context_similarity
FRENCH MINISTER FOR THE ASSOCIATED STATES,MINISTER OF ASSOCIATED STATES LETOURNEAU,lexical_context_similarity
KONG LES 2ND PARATROOP BATTALION,KONG LES SECOND PARATROOP BATTALION,lexical_context_similarity
BRITISH MILITARY AUTHORITIES,BRITISH MILITARY,lexical_context_similarity
CHINESE LEADERS,CHINESE COMMUNIST,lexical_context_similarity
HASAN HUDAIBI,HASSAN HUDAIBI,lexical_context_similarity
HENRI TEITGEN,TEITGEN,lexical_context_similarity
SOVIET AMBASSADOR ABRAMOV,SOVIET AMBASSADOR,lexical_context_similarity
AMERICAN EMBASSY IN THE HAGUE,AMERICAN EMBASSY,lexical_context_similarity
SERGEY KUDRYAVTSEV,KUDRYAVTSEV,lexical_context_similarity
WHITEHEAD,SIR EDGAR WHITEHEAD,lexical_context_similarity
AUSTRALIAN MINISTER,AUSTRALIAN MINISTER QUINN,lexical_context_similarity
LAGAILLARDE,PIERRE LAGAILLARDE,lexical_context_similarity
SOVIET AMBASSADOR-DESIGNATE ABRAMOV,SOVIET AMBASSADOR,lexical_context_similarity
FRENCH INTELLIGENCE HEADQUARTERS,FRENCH INTELLIGENCE,lexical_context_similarity
SOHN WON-IL,SON WON-IL,lexical_context_similarity
MARSHAL ROKOSSOWSKI,ROKOSSOWSKI,lexical_context_similarity
BAJAUR REGION,BAJAUR,lexical_context_similarity
COLONEL ZULKIFLI LUBIS,COLONEL LUBIS,lexical_context_similarity
SOVIET AMBASSADOR SHPEDKO,SOVIET AMBASSADOR,lexical_context_similarity
AMERICAN LEGATION IN HELSINKI,US LEGATION IN HELSINKI,lexical_context_similarity
DANTAS,JOAO DANTAS,lexical_context_similarity
BOLIVIAN WORKER CENTRAL (COB),BOLIVIAN WORKERS CENTRAL,lexical_context_similarity
RESIDENT GENERAL,RESIDENT GENERAL GUILLAUME,lexical_context_similarity
ROMULO BETANCOURT,BETANCOURT,lexical_context_similarity
PREMIER TRAN VAN HUU,TRAN VAN HUU,lexical_context_similarity
KIVU,KIVU PROVINCE,lexical_context_similarity
EDVARD KARDELJ,KARDELJ,lexical_context_similarity
MAXIM Z. SABUROV,M. Z. SABUROV,lexical_context_similarity
PROVISIONAL PRESIDENT PEREZ,PRESIDENT PEREZ,lexical_context_similarity
SANGKUM,SANGKUM PARTY,lexical_context_similarity
AMERICAN EMBASSY IN ACCRA,AMERICAN EMBASSY,lexical_context_similarity
BRITISH AIOC,ANGLO-IRANIAN OIL COMPANY,lexical_context_similarity
CHINESE NATIONALIST HIGH COMMAND,CHINESE NATIONALIST,lexical_context_similarity
GENERAL KETTANI,GENERAL BEN HAMOU KETTANI,lexical_context_similarity
BALUBAKAT,BALUBAKAT PARTY,lexical_context_similarity
SOUPHANOUVONG,SOUPHANNOUVONG,lexical_context_similarity
MOROCCAN ISTIQLAL,ISTIQLAL PARTY,lexical_context_similarity
SIDI IFNI,IFNI,lexical_context_similarity
SOVIET EMBASSY IN VIENNA,SOVIET EMBASSY,lexical_context_similarity
AMERICAN AMBASSADOR MALLORY,US AMBASSADOR MALLORY,lexical_context_similarity
MOSLEM YOUTH GROUP,MOSLEM YOUTH GROUPS,lexical_context_similarity
SOLH,SAMI SOLH,lexical_context_similarity
SUHRAWARDYS AWAMI LEAGUE,AWAMI LEAGUE,lexical_context_similarity
THA THOM AIRSTRIP,THA THOM,lexical_context_similarity
VICTOR LUNDULA,GENERAL LUNDULA,lexical_context_similarity
AL ARISH,EL ARISH,lexical_context_similarity
KING SAVANG VATHANA,KING SAVANG,lexical_context_similarity
CARDENAS,LAZARO CARDENAS,lexical_context_similarity
PUSHTOON TRIBESMEN,PUSHTOON TRIBES,lexical_context_similarity
MANAHAN,MANUEL MANAHAN,lexical_context_similarity
NORODOM SIHANOUK,SIHANOUK,lexical_context_similarity
ANGLO-AMERICAN FORCES,ANGLO-AMERICAN OCCUPATION FORCES,lexical_context_similarity
SIDIQ AL-MAHDI,SIDDIQ AL-MAHDI,lexical_context_similarity
ABD AL-ILAH,CROWN PRINCE ABD AL-ILAH,lexical_context_similarity
SOVIET FREIGHTER ALEXANDER NEVSKY,ALEXANDER NEVSKY,lexical_context_similarity
YUNNAN PROVINCE,YUNNAN,lexical_context_similarity
COLOMBIAN PRESIDENT LLERAS CAMARGO,LLERAS CAMARGO,lexical_context_similarity
SOUTH VIETNAM GOVERNMENT,SOUTH VIETNAMESE GOVERNMENT,lexical_context_similarity
YASIN,YUSUF YASIN,lexical_context_similarity
BARZANI,MULLA MUSTAFA BARZANI,lexical_context_similarity
VULKO CHERVENKOV,CHERVENKOV,lexical_context_similarity
WILLIAM MORGAN,WILLIAM ALEXANDER MORGAN,lexical_context_similarity
IRANIAN MINISTER OF ROADS,IRANIAN MINISTER,lexical_context_similarity
CUBAS COMMUNIST PARTY,CUBAN COMMUNIST PARTY,lexical_context_similarity
GUEDIRA,AHMED REDA GUEDIRA,lexical_context_similarity
INSTITUTIONAL REVOLUTIONARY PARTY,PARTY OF REVOLUTIONARY INSTITUTIONS,lexical_context_similarity
AIICHIRO FUJIYAMA,FUJIYAMA,lexical_context_similarity
CHINESE COMMUNIST LEADERSHIP,CHINESE COMMUNIST,lexical_context_similarity
SECRETARY OF STATE ACHESON,SECRETARY OF STATE,lexical_context_similarity
JUMELLE,CLEMENT JUMELLE,lexical_context_similarity
LUTHULI,ALBERT LUTHULI,lexical_context_similarity
COMMUNIST PARTY IN VENEZUELA,VENEZUELAN COMMUNIST PARTY,lexical_context_similarity
TUNISIAN PRESIDENT,BOURGUIBA,lexical_context_similarity
PEOPLES REPUBLIC OF CHINA,CHINESE PEOPLES REPUBLIC,lexical_context_similarity
AMERICAN LEGATION IN REYKJAVIK,AMERICAN LEGATION,lexical_context_similarity
ASFA WOSSEN,CROWN PRINCE ASFA WOSSEN,lexical_context_similarity
H. T. ALEXANDER,GENERAL ALEXANDER,lexical_context_similarity
SIRRY,SIRRY PASHA,lexical_context_similarity
AMERICAN CHARGE LIGHTNER,AMERICAN CHARGE,lexical_context_similarity
FERNANDO TAMBRONI,TAMBRONI,lexical_context_similarity
MARSHAL BAGRAMYAN,BAGRAMYAN,lexical_context_similarity
AMERICAN EMBASSY IN NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity
LATIN AMERICAN WORKERS CONFEDERATION,CONFEDERATION OF LATIN AMERICAN WORKERS (CTAL),lexical_context_similarity
T-34 TANKS,T-34 MEDIUM TANKS,lexical_context_similarity
CLEOPHAS KAMITATU,KAMITATU,lexical_context_similarity
SWISS MINISTER,SWISS MINISTER TO CHINA,lexical_context_similarity
GENERAL CHONG,CHONG IL-KWON,lexical_context_similarity
JOSEPH KASAVUBWU,KASAVUBU,lexical_context_similarity
US LEGATION,AMERICAN LEGATION,lexical_context_similarity
BEVAN,ANEURIN BEVAN,lexical_context_similarity
IRAQI FORCES,IRAQI MILITARY FORCES,lexical_context_similarity
ISRAELI SHIP BAT GALIM,BAT GALIM,lexical_context_similarity
VILLEDA,VILLEDA MORALES,lexical_context_similarity
INTERNATIONAL COMMISSION,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
SYRIAN ARMY OFFICERS,SYRIAN ARMY,lexical_context_similarity
XIENG KOUANG,XIENG KHOUANG,lexical_context_similarity
PRESIDENT FIGUERES,FIGUERES,lexical_context_similarity
MOHAMMED HATTA,HATTA,lexical_context_similarity
SOVIET,SOVIET UNION,lexical_context_similarity
LAGHZAOUI,MOHAMED LAGHZAOUI,lexical_context_similarity
FRANZ ETZEL,ETZEL,lexical_context_similarity
MULLA KASHANI,KASHANI,lexical_context_similarity
KING OF JORDAN,KING HUSAYN,lexical_context_similarity
ABBAS,FERHAT ABBAS,lexical_context_similarity
DEFENSE MINISTER MALINOVSKY,SOVIET DEFENSE MINISTER MARSHAL MALINOVSKY,lexical_context_similarity
COMMUNIST-FRONT LABOR ALLIANCE,LABOR ALLIANCE,lexical_context_similarity
NAVA LANKA SAMA SAMAJA PARTY,LANKA SAMA SAMAJ PARTY (LSSP),lexical_context_similarity
KIRICHENKO,ALEKSEY KIRICHENKO,lexical_context_similarity
CHEVALLIER,JACQUES CHEVALLIER,lexical_context_similarity
VLADIMIR CLEMENTIS,CLEMENTIS,lexical_context_similarity
K. M. PANIKKAR,INDIAN AMBASSADOR,lexical_context_similarity
DE GAULLE REGIME,DE GAULLES REGIME,lexical_context_similarity
LT. GEN. LE VAN TY,LE VAN TY,lexical_context_similarity
US EMBASSY IN MANILA,AMERICAN EMBASSY,lexical_context_similarity
GUINEAN GOVERNMENT,GUINEA GOVERNMENT,lexical_context_similarity
PANAMA GOVERNMENT,PANAMANIAN GOVERNMENT,lexical_context_similarity
WHEELUS BASE,WHEELUS AIR BASE,lexical_context_similarity
SOVIET ZONE OF GERMANY,SOVIET ZONE,lexical_context_similarity
WELENSKY,SIR ROY WELENSKY,lexical_context_similarity
CIE. FRANCAISE DES PETROLES,COMPAGNIE FRANCAISE DES PETROLES,lexical_context_similarity
MOCH,JULES MOCH,lexical_context_similarity
EUROPEAN COMMON MARKET (EEC),COMMON MARKET,lexical_context_similarity
GENEVA AGREEMENT,GENEVA AGREEMENTS,lexical_context_similarity
REVOLUTIONARY COMMAND COUNCIL (RCC),REVOLUTIONARY COMMAND COUNCIL,lexical_context_similarity
46TH CHINESE ARMY,CHINESE COMMUNIST ARMY,lexical_context_similarity
ALLIED,ALLIED COUNCIL,lexical_context_similarity
CHINMEN ISLANDS,CHINMEN,lexical_context_similarity
VELASCO IBARRA,VELASCO,lexical_context_similarity
LT. COL. MUSTAFAH HAMDUN,COL. MUSTAFA HAMDUN,lexical_context_similarity
ALGERIAN REBEL LEADERSHIP,ALGERIAN REBEL LEADERS,lexical_context_similarity
FRENCH AMBASSADOR GASSOUIN,FRENCH AMBASSADOR,lexical_context_similarity
MODIBO KEITO,MODIBO KEITA,lexical_context_similarity
INDONESIAN VICE PRESIDENT HATTA,VICE PRESIDENT HATTA,lexical_context_similarity
KOMSOMOLSK SHIPYARD,KOMSOMOLSK,lexical_context_similarity
TYURA TAM-KLYUCHI,TYURA TAM,lexical_context_similarity
EGYPTIAN INTERIOR MINISTRY,MINISTRY OF INTERIOR,lexical_context_similarity
SOVIET PARLIAMENTARY DELEGATION,SOVIET DELEGATION,lexical_context_similarity
EGYPTIAN MILITARY ATTACHÉ,EGYPTIAN MILITARY ATTACHE,lexical_context_similarity
HOXHA,ENVER HOXHA,lexical_context_similarity
POPULAR RESISTANCE GROUPS,POPULAR RESISTANCE FORCES,lexical_context_similarity
AMOEDO,JULIO AMOEDO,lexical_context_similarity
CUBA ARMY,CUBAN ARMY,lexical_context_similarity
GUATEMALAN PRESIDENT MIGUEL YDIGORAS,YDIGORAS,lexical_context_similarity
HOLDEN,HOLDEN ROBERTO,lexical_context_similarity
AMERICAN EMBASSY IN BAMAKO,AMERICAN EMBASSY,lexical_context_similarity
GOVERNMENT OF INDIA,INDIAN GOVERNMENT,lexical_context_similarity
SOCIALIST VICE CHANCELLOR PITTERMANN,VICE CHANCELLOR BRUNO PITTERMANN,lexical_context_similarity
US OFFICIALS,AMERICAN OFFICIALS,lexical_context_similarity
AMERICAN CONSUL IN PORT SAID,AMERICAN CONSUL,lexical_context_similarity
GEORGI MALENKOV,MALENKOV,lexical_context_similarity
SOVIET ACADEMY OF SCIENCE,SOVIET ACADEMY OF SCIENCES,lexical_context_similarity
VIETNAM ARMY,VIETNAMESE ARMY,lexical_context_similarity
COMMUNIST CHINESE,CHINESE COMMUNIST REGIME,lexical_context_similarity
JOSEPH MOBUTU,MOBUTU,lexical_context_similarity
TURKISH FOREIGN MINISTER,TURKISH FOREIGN MINISTER KOPRULU,lexical_context_similarity
26TH AIR DIVISION,CHINESE COMMUNIST 26TH AIR DIVISION,lexical_context_similarity
COMMUNIST PARTY OF YUGOSLAVIA,YUGOSLAV COMMUNIST PARTY,lexical_context_similarity
BRAZILS COMMUNIST PARTY,BRAZILIAN COMMUNIST PARTY,lexical_context_similarity
MOROCCAN MINISTER OF DEFENSE,MOROCCAN MINISTER OF DEFENSE AOUAD,lexical_context_similarity
NAGY,IMRE NAGY,lexical_context_similarity
KISHIS LIBERAL-DEMOCRATIC PARTY,LIBERAL-DEMOCRATIC PARTY,lexical_context_similarity
SAMUAL,LT. COL. SUMUAL,lexical_context_similarity
ISRAELI FOREIGN MINISTER MEIR,ISRAELI FOREIGN MINISTER SHARETT,lexical_context_similarity
JAPANESE DEFENSE AGENCY,JAPANS DEFENSE AGENCY,lexical_context_similarity
MATSU ISLANDS,MATSU ISLAND GROUP,lexical_context_similarity
GHANAIAN UNIT,GHANAIAN UNIT OF UN TROOPS,lexical_context_similarity
BLOC,SOVIET BLOC,lexical_context_similarity
GEORGE YEH,YEH,lexical_context_similarity
AMERICAN HIGH COMMISSIONER,US HIGH COMMISSIONER,lexical_context_similarity
BADR,CROWN PRINCE BADR,lexical_context_similarity
MAJ. GEN. BEN HAMOU KETTANI,GENERAL BEN HAMOU KETTANI,lexical_context_similarity
COUNCIL OF EUROPE MINISTERS COMMITTEE,COUNCIL OF EUROPE,lexical_context_similarity
FRENCH AMBASSADORS,FRENCH AMBASSADOR,lexical_context_similarity
JOAO CAFE FILHO,CAFÉ FILHO,lexical_context_similarity
EAST GERMAN BORDER POLICE,EAST GERMAN POLICE,lexical_context_similarity
KONG LE FORCES,KONG LE - PATHET LAO,lexical_context_similarity
RECTO,CLARO RECTO,lexical_context_similarity
FRENCH HEADQUARTERS,FRENCH HEADQUARTERS IN INDOCHINA,lexical_context_similarity
GENERAL LOPES,GENERAL CRAVEIRO LOPES,lexical_context_similarity
MENGHISTU,MENGHISTU NEWAY,lexical_context_similarity
EGYPTIAN MILITARY ATTACHES,EGYPTIAN MILITARY ATTACHE,lexical_context_similarity
HABBANIYA AIRFIELD,HABBANIYAH AIRFIELD,lexical_context_similarity
MOHAMED BELLOUNIS,MOHAMED BELOUNIS,lexical_context_similarity
SHINSUKE KISHI,KISHI,lexical_context_similarity
VICE CHANCELLOR PITTERMAN,VICE CHANCELLOR BRUNO PITTERMANN,lexical_context_similarity
ASSEMBLY SPEAKER YI KI-PUNG,YI KI-PUNG,lexical_context_similarity
US CONSULATE OFFICERS,US CONSULATE,lexical_context_similarity
AMERICAN MINISTER IN TRIPOLI,AMERICAN MINISTER,lexical_context_similarity
WLADISLAW GOMULKA,GOMULKA,lexical_context_similarity
AMBON ISLAND,AMBON,lexical_context_similarity
HARDING,GOVERNOR HARDING,lexical_context_similarity
BENELUX,BENELUX COUNTRIES,lexical_context_similarity
GENERAL ARIF,GENERAL MOHAMMAD ARIF,lexical_context_similarity
GOVERNMENT OF THE ROYAL LAOTIAN KINGDOM,LAOTIAN GOVERNMENT,lexical_context_similarity
HAMANI DIORI,DIORI,lexical_context_similarity
CHRISTIAN DEMOCRATIC OFFICIALS,CHRISTIAN DEMOCRATIC UNION,lexical_context_similarity
BOURGES-MAUNOURY CABINET,BOURGES-MAUNOURY GOVERNMENT,lexical_context_similarity
PIJADE,MOSE PIJADE,lexical_context_similarity
QUEMOY AND MATSU,QUEMOY,lexical_context_similarity
FRENCH MINISTER BAUDIER,FRENCH MINISTER,lexical_context_similarity
MARSHAL SARIT,SARIT,lexical_context_similarity
MUNOZ GRANDES,AUGUSTIN MUNOZ GRANDES,lexical_context_similarity
ALLIED HIGH COMMISSION,ALLIED HIGH COMMISSIONERS,lexical_context_similarity
KACHIN MINORITY,KACHIN,lexical_context_similarity
