node_key,label,node_type,member_count,top_labels
LEVEL1_COMMUNITY:57,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01,LEVEL1_COMMUNITY,4,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01
LEVEL1_COMMUNITY:58,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos,LEVEL1_COMMUNITY,4,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos
LEVEL1_COMMUNITY:59,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT,LEVEL1_COMMUNITY,4,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT
LEVEL1_COMMUNITY:60,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL,LEVEL1_COMMUNITY,4,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL
LEVEL1_COMMUNITY:61,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04,LEVEL1_COMMUNITY,4,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04
LEVEL1_COMMUNITY:62,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December,LEVEL1_COMMUNITY,4,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December
LEVEL1_COMMUNITY:63,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t,LEVEL1_COMMUNITY,4,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t
LEVEL1_COMMUNITY:64,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16,LEVEL1_COMMUNITY,4,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16
LEVEL1_COMMUNITY:65,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY,LEVEL1_COMMUNITY,4,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY
LEVEL1_COMMUNITY:66,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955",LEVEL1_COMMUNITY,4,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955"
LEVEL1_COMMUNITY:67,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction,LEVEL1_COMMUNITY,3,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction
LEVEL1_COMMUNITY:68,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic",LEVEL1_COMMUNITY,3,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic"
LEVEL1_COMMUNITY:69,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA,LEVEL1_COMMUNITY,3,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA
LEVEL1_COMMUNITY:70,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,LEVEL1_COMMUNITY,3,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE
LEVEL1_COMMUNITY:71,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,LEVEL1_COMMUNITY,3,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02
LEVEL1_COMMUNITY:72,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,LEVEL1_COMMUNITY,3,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT
LEVEL1_COMMUNITY:73,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,LEVEL1_COMMUNITY,3,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14
LEVEL1_COMMUNITY:74,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959",LEVEL1_COMMUNITY,3,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959"
LEVEL1_COMMUNITY:75,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,LEVEL1_COMMUNITY,3,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other
LEVEL1_COMMUNITY:76,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI,LEVEL1_COMMUNITY,3,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI
LEVEL1_COMMUNITY:77,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,LEVEL1_COMMUNITY,3,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05
LEVEL1_COMMUNITY:78,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV,LEVEL1_COMMUNITY,3,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV
LEVEL1_COMMUNITY:79,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,LEVEL1_COMMUNITY,3,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS
LEVEL1_COMMUNITY:80,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,LEVEL1_COMMUNITY,3,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15
LEVEL1_COMMUNITY:81,ANNAMESE; FRENCH VICE-CONSUL; ROYERE,LEVEL1_COMMUNITY,3,ANNAMESE; FRENCH VICE-CONSUL; ROYERE
LEVEL1_COMMUNITY:82,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,LEVEL1_COMMUNITY,3,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04
LEVEL1_COMMUNITY:83,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,LEVEL1_COMMUNITY,3,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH
LEVEL1_COMMUNITY:84,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT,LEVEL1_COMMUNITY,3,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT
LEVEL1_COMMUNITY:85,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction",LEVEL1_COMMUNITY,3,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction"
LEVEL1_COMMUNITY:86,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953,LEVEL1_COMMUNITY,3,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953
LEVEL1_COMMUNITY:87,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31",LEVEL1_COMMUNITY,3,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31"
LEVEL1_COMMUNITY:88,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October,LEVEL1_COMMUNITY,3,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October
LEVEL1_COMMUNITY:89,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction,LEVEL1_COMMUNITY,3,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction
LEVEL1_COMMUNITY:90,JULIUSZ HUEBNER; POLANDS INTERNAL SECURITY FORCES; WACLAW KOMAR,LEVEL1_COMMUNITY,3,JULIUSZ HUEBNER; POLANDS INTERNAL SECURITY FORCES; WACLAW KOMAR
LEVEL1_COMMUNITY:91,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0,LEVEL1_COMMUNITY,3,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0
LEVEL1_COMMUNITY:92,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication,LEVEL1_COMMUNITY,3,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication
LEVEL1_COMMUNITY:93,"BRITISH DE HAVILLAND; HELWAN; Construction of large installation | Egypt began construction of a large installation comprising a steelworks, foundry, and rolling mill. | Other | late 1954",LEVEL1_COMMUNITY,3,"BRITISH DE HAVILLAND; HELWAN; Construction of large installation | Egypt began construction of a large installation comprising a steelworks, foundry, and rolling mill. | Other | late 1954"
LEVEL1_COMMUNITY:94,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT,LEVEL1_COMMUNITY,2,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT
LEVEL1_COMMUNITY:95,NATIONAL YOUTH CORPS; TAIPEI RIOTS,LEVEL1_COMMUNITY,2,NATIONAL YOUTH CORPS; TAIPEI RIOTS
LEVEL1_COMMUNITY:96,DEAN RUSK; TOKYO CONFERENCE,LEVEL1_COMMUNITY,2,DEAN RUSK; TOKYO CONFERENCE
LEVEL1_COMMUNITY:97,LIBYANS; LIBYAN COUNCIL OF MINISTERS,LEVEL1_COMMUNITY,2,LIBYANS; LIBYAN COUNCIL OF MINISTERS
LEVEL1_COMMUNITY:98,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY,LEVEL1_COMMUNITY,2,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY
LEVEL1_COMMUNITY:99,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON,LEVEL1_COMMUNITY,2,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON
LEVEL1_COMMUNITY:100,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION,LEVEL1_COMMUNITY,2,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION
LEVEL1_COMMUNITY:101,VLADIMIR USTINOV; YEKATERINA FURTSEVA,LEVEL1_COMMUNITY,2,VLADIMIR USTINOV; YEKATERINA FURTSEVA
LEVEL1_COMMUNITY:102,CHILEAN CABINET; LABOR MINISTER FONCEA,LEVEL1_COMMUNITY,2,CHILEAN CABINET; LABOR MINISTER FONCEA
LEVEL1_COMMUNITY:103,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY,LEVEL1_COMMUNITY,2,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY
LEVEL1_COMMUNITY:104,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1,LEVEL1_COMMUNITY,2,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1
LEVEL1_COMMUNITY:105,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER,LEVEL1_COMMUNITY,2,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER
LEVEL1_COMMUNITY:106,ISRAELI TROOPS; UN OBSERVER HUTCHISON,LEVEL1_COMMUNITY,2,ISRAELI TROOPS; UN OBSERVER HUTCHISON
LEVEL1_COMMUNITY:107,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER,LEVEL1_COMMUNITY,2,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER
LEVEL1_COMMUNITY:108,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13,LEVEL1_COMMUNITY,2,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13
LEVEL1_COMMUNITY:109,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY,LEVEL1_COMMUNITY,2,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY
LEVEL1_COMMUNITY:110,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951,LEVEL1_COMMUNITY,2,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951
LEVEL1_COMMUNITY:111,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech,LEVEL1_COMMUNITY,2,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech
LEVEL1_COMMUNITY:112,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ,LEVEL1_COMMUNITY,2,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ
LEVEL1_COMMUNITY:113,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25,LEVEL1_COMMUNITY,2,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25
LEVEL1_COMMUNITY:114,SHAMMAR; YAZIDI,LEVEL1_COMMUNITY,2,SHAMMAR; YAZIDI
LEVEL1_COMMUNITY:115,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY,LEVEL1_COMMUNITY,2,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY
LEVEL1_COMMUNITY:116,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS,LEVEL1_COMMUNITY,2,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS
LEVEL1_COMMUNITY:117,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08,LEVEL1_COMMUNITY,2,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08
LEVEL1_COMMUNITY:118,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961",LEVEL1_COMMUNITY,2,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961"
LEVEL1_COMMUNITY:119,BRITISH PROPOSALS; SOVIET BROADCAST,LEVEL1_COMMUNITY,2,BRITISH PROPOSALS; SOVIET BROADCAST
LEVEL1_COMMUNITY:120,MINDAN; DEMONSTRATION,LEVEL1_COMMUNITY,2,MINDAN; DEMONSTRATION
LEVEL1_COMMUNITY:121,GAJEWSKI; POZNAN RIOTS,LEVEL1_COMMUNITY,2,GAJEWSKI; POZNAN RIOTS
LEVEL1_COMMUNITY:122,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS,LEVEL1_COMMUNITY,2,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS
