source_global,target_global,rel,weight,support_count,doc_ids,weight_raw_meta
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:30,META_LINK,1.6445315129232994,24,2733107_CIA-RDP79T00975A000100370001-9,4.178583239238457
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:31,META_LINK,1.7623437226335723,30,3015177_CIA-RDP79T00975A002600350001-4;3160436_CIA-RDP79T00975A003000320001-2;3161848_CIA-RDP79T00975A002400410001-9,4.826076111922381
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:32,META_LINK,1.9720132056786903,34,2872256_CIA-RDP79T00975A001200460001-7;2989050_CIA-RDP79T00975A002200020001-4;3160428_CIA-RDP79T00975A003000220001-3;3161867_CIA-RDP79T00975A002600530001-4,6.18512707609498
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:33,META_LINK,1.7502906578470445,23,2996969_CIA-RDP79T00975A002300050001-0;3177794_CIA-RDP79T00975A003600350001-3,4.756275539533814
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:34,META_LINK,1.8953112342931122,37,2692613_CIA-RDP79T00975A000600280001-4;3006384_CIA-RDP79T00975A001500530001-6;5973625_CIA-RDP79T00975A000800570001-3,5.654619228071901
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:35,META_LINK,1.6046148832905995,25,3193794_CIA-RDP79T00975A002700020001-9,3.975942914927562
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:37,META_LINK,1.6143968160540396,24,3017429_CIA-RDP79T00975A001600610001-6,4.0248560966577775
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:39,META_LINK,2.0816584015574793,30,3009182_CIA-RDP79T00975A001800400001-7;3177792_CIA-RDP79T00975A003600310001-7;3178364_CIA-RDP79T00975A002700240001-5;3179151_CIA-RDP79T00975A002400380001-3,7.017754551426318
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:4,META_LINK,8.043012999751802,7551,2000171_CIA-RDP79T00975A005500080001-2;2000178_CIA-RDP79T00975A005500180001-1;2000184_CIA-RDP79T00975A005500240001-4;2000191_CIA-RDP79T00975A005500330001-4;2000196_CIA-RDP79T00975A005500380001-9;2000197_CIA-RDP79T00975A005500390001-8;2001967_CIA-RDP79T00975A005600090001-0;2001971_CIA-RDP79T00975A005600210001-6;2001973_CIA-RDP79T00975A005600250001-2;2001977_CIA-RDP79T00975A005600320001-4;2001979_CIA-RDP79T00975A005600350001-1;2001982_CIA-RDP79T00975A005600380001-8;2001984_CIA-RDP79T00975A005600400001-5;2001986_CIA-RDP79T00975A005600420001-3;2001988_CIA-RDP79T00975A005600440001-1;2001992_CIA-RDP79T00975A005700030001-5;2001999_CIA-RDP79T00975A000300350001-9;2003043_CIA-RDP79T00975A000100420001-3;2003049_CIA-RDP79T00975A000100580001-6;2003052_CIA-RDP79T00975A000200080001-0;2003053_CIA-RDP79T00975A000200090001-9;2003058_CIA-RDP79T00975A000200170001-0;2003065_CIA-RDP79T00975A000200380001-7;2003068_CIA-RDP79T00975A000200450001-9;2003077_CIA-RDP79T00975A000200570001-6;2003078_CIA-RDP79T00975A000300030001-4;2003079_CIA-RDP79T00975A000300080001-9;2003083_CIA-RDP79T00975A000300150001-1;2008378_CIA-RDP79T00975A000300520001-0;2008382_CIA-RDP79T00975A000400230001-1,3110.9754602761072
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:41,META_LINK,1.7845827049166023,25,3161769_CIA-RDP79T00975A002400340001-7;3185109_CIA-RDP79T00975A002400430001-7,4.9570935629854604
