,3175206,"February 28, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587356%5D.pdf,2/28/1951,CIA-RDP79T00975A000100190001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100190001-9,/meta-53200,CURRENT INTELLIGENCE BULLETIN,1951,Y
Current/Central Intelligence Bulletin Collection,2003048,"April 13, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587387%5D.pdf,4/13/1951,CIA-RDP79T00975A000100560001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100560001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733114,"April 14, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587385%5D.pdf,4/14/1951,CIA-RDP79T00975A000100570001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100570001-7,/meta-54400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003049,"April 15, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587410%5D.pdf,4/15/1951,CIA-RDP79T00975A000100580001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100580001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733115,"April 17, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587360%5D.pdf,4/17/1951,CIA-RDP79T00975A000100590001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100590001-5,/meta-40600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003050,"April 18, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587390%5D.pdf,4/18/1951,CIA-RDP79T00975A000100600001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100600001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733116,"April 19, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587414%5D.pdf,4/19/1951,CIA-RDP79T00975A000200010001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200010001-7,/meta-50600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003051,"April 20, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587339%5D.pdf,4/20/1951,CIA-RDP79T00975A000200020001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200020001-6,/meta-53800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733117,"April 21, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587411%5D.pdf,4/21/1951,CIA-RDP79T00975A000200030001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200030001-5,/meta-52600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733118,"April 22, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587416%5D.pdf,4/22/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2733119,"April 24, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587413%5D.pdf,4/24/1951,CIA-RDP79T00975A000200050001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200050001-3,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733120,"April 25, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587338%5D.pdf,4/25/1951,CIA-RDP79T00975A000200060001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200060001-2,/meta-12800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733121,"April 26, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587426%5D.pdf,4/26/1951,CIA-RDP79T00975A000200070001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200070001-1,/meta-16200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003052,"April 27, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587417%5D.pdf,4/27/1951,CIA-RDP79T00975A000200080001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200080001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003053,"April 28, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587351%5D.pdf,4/28/1951,CIA-RDP79T00975A000200090001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200090001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003054,"April 29, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587392%5D.pdf,4/29/1951,CIA-RDP79T00975A000200100001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200100001-7,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003055,"May 1, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587432%5D.pdf,5/1/1951,CIA-RDP79T00975A000200110001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200110001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733122,"May 2, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587370%5D.pdf,5/2/1951,CIA-RDP79T00975A000200120001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200120001-5,/meta-12600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003056,"May 3, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587348%5D.pdf,5/3/1951,CIA-RDP79T00975A000200130001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200130001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733123,"May 4, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587375%5D.pdf,5/4/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2003057,"May 5, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587388%5D.pdf,5/5/1951,CIA-RDP79T00975A000200150001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200150001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733124,"May 6, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587423%5D.pdf,5/6/1951,CIA-RDP79T00975A000200160001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200160001-1,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003058,"May 8, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587429%5D.pdf,5/8/1951,CIA-RDP79T00975A000200170001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200170001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003059,"May 9, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587422%5D.pdf,5/9/1951,CIA-RDP79T00975A000200180001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200180001-9,/meta-51200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,3176556,"May 10, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587349%5D.pdf,5/10/1951,CIA-RDP79T00975A000200190001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200190001-8,/meta-51200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003060,"May 11, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587434%5D.pdf,5/11/1951,CIA-RDP79T00975A000200200001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200200001-6,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733125,"May 12, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587343%5D.pdf,5/12/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2733126,"May 13, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587404%5D.pdf,5/13/1951,CIA-RDP79T00975A000200220001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200220001-4,/meta-12800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,3176557,"May 15, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587427%5D.pdf,5/15/1951,CIA-RDP79T00975A000200230001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200230001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003061,"May 16, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587353%5D.pdf,5/16/1951,CIA-RDP79T00975A000200240001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200240001-2,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003062,"May 17, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587350%5D.pdf,5/17/1951,CIA-RDP79T00975A000200250001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200250001-1,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733127,"May 18, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587433%5D.pdf,5/18/1951,CIA-RDP79T00975A000200260001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200260001-0,/meta-11400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733128,"May 19, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587401%5D.pdf,5/19/1951,CIA-RDP79T00975A000200270001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200270001-9,/meta-54800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733129,"May 20, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587418%5D.pdf,5/20/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2003063,"May 22, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587367%5D.pdf,5/22/1951,CIA-RDP79T00975A000200290001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200290001-7,/meta-52000,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003064,"May 23, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587369%5D.pdf,5/23/1951,CIA-RDP79T00975A000200300001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200300001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,3176558,"May 24, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587361%5D.pdf,5/24/1951,CIA-RDP79T00975A000200310001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200310001-4,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733130,"May 25, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587415%5D.pdf,5/25/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2733131,"May 26, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587405%5D.pdf,5/26/1951,CIA-RDP79T00975A000200330001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200330001-2,/meta-16200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733132,"May 27, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587372%5D.pdf,5/27/1951,CIA-RDP79T00975A000200340001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200340001-1,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733133,"May 29, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587428%5D.pdf,5/29/1951,CIA-RDP79T00975A000200350001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200350001-0,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,3176559,"May 30, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587346%5D.pdf,5/30/1951,CIA-RDP79T00975A000200360001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200360001-9,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2733134,"June 1, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587345%5D.pdf,6/1/1951,,,,,1951,
Current/Central Intelligence Bulletin Collection,2003065,"June 2, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587355%5D.pdf,6/2/1951,CIA-RDP79T00975A000200380001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200380001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003066,"June 3, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587365%5D.pdf,6/3/1951,CIA-RDP79T00975A000200390001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200390001-6,/meta-50800,CENTRAL INTELLIGENCE BULLETIN,1951,
Current/Central Intelligence Bulletin Collection,2003067,"June 5, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587379%5D.pdf,6/5/1951,CIA-RDP79T00975A000200400001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000200400001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1951,
