alias,canonical_label,notes,source,review_status,final_score
DIRECTOR,DIRECTOR (BULLETIN STATES UNITED),,a4_pipeline,a3_single_cluster_self,1.0
PAKISTAN,PAKISTAN (COUNTRY BULLETIN AFGHANISTAN),,a4_pipeline,a3_single_cluster_self,1.0
CUBA,CUBA (1952 COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
BRITAIN,BRITAIN (COUNTRY BULLETIN USSR),,a4_pipeline,a3_single_cluster_self,1.0
WEST GERMANY,WEST GERMANY (COUNTRY BULLETIN WESTERN),,a4_pipeline,a3_single_cluster_self,1.0
POLAND,POLAND (BULLETIN DELEGATES INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
SAUDI ARABIA,SAUDI ARABIA (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
NEHRU,NEHRU (BULLETIN LATTRE INDIAN),,a4_pipeline,a3_single_cluster_self,1.0
BURMA,BURMA (COUNTRY BULLETIN BURMESE),,a4_pipeline,a3_single_cluster_self,1.0
SOUTH KOREA,SOUTH KOREA (COUNTRY BULLETIN JAPAN),,a4_pipeline,a3_single_cluster_self,1.0
CAIRO,CAIRO (EGYPT CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
CHINA,CHINA (USSR COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
ITALY,ITALY (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
SUKARNO,SUKARNO (INDONESIA BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
MOROCCO,MOROCCO (COUNTRY BULLETIN EGYPT),,a4_pipeline,a3_single_cluster_self,1.0
GREECE,GREECE (ALBANIA YUGOSLAVIA COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
ADENAUER,ADENAUER (SCHUMAN GERMANY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
ALGERIA,ALGERIA (TUNISIA BULLETIN FRANCE),,a4_pipeline,a3_single_cluster_self,1.0
CONGO,CONGO (BULLETIN HEMELRIJCK BELGIUM),,a4_pipeline,a3_single_cluster_self,1.0
THAILAND,THAILAND (COUNTRY BULLETIN IS),,a4_pipeline,a3_single_cluster_self,1.0
AFGHANISTAN,AFGHANISTAN (PAKISTAN COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
NORTH VIETNAM,NORTH VIETNAM (BULLETIN KOIRALA KOREA),,a4_pipeline,a3_single_cluster_self,1.0
CHANCELLOR ADENAUER,CHANCELLOR ADENAUER (BULLETIN GERMANY INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
HUNGARY,HUNGARY (COUNTRY BULLETIN DELEGATES),,a4_pipeline,a3_single_cluster_self,1.0
ARGENTINA,ARGENTINA (COUNTRY BULLETIN LATTRE),,a4_pipeline,a3_single_cluster_self,1.0
MOSSADEQ,MOSSADEQ (BULLETIN IS MAJLIS),,a4_pipeline,a3_single_cluster_self,1.0
LEBANON,LEBANON (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE (HEAD BULLETIN STATES),,a4_pipeline,a3_single_cluster_self,1.0
TUNISIA,TUNISIA (BULLETIN MOROCCO AS),,a4_pipeline,a3_single_cluster_self,1.0
CEYLON,CEYLON (COUNTRY BULLETIN BAO),,a4_pipeline,a3_single_cluster_self,1.0
VICE PRESIDENT,VICE PRESIDENT (OFFICES INVESTIGATION WHITE),,a4_pipeline,a3_single_cluster_self,1.0
BRAZIL,BRAZIL (COUNTRY BULLETIN BRAZILIAN),,a4_pipeline,a3_single_cluster_self,1.0
US,UNITED STATES,,a4_pipeline,accept_rule,1.0
VIENTIANE,VIENTIANE (LAOS CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
SOUTH VIETNAM,SOUTH VIETNAM (BULLETIN 1954 MINH),,a4_pipeline,a3_single_cluster_self,1.0
NORTH KOREA,NORTH KOREA (COUNTRY BULLETIN US),,a4_pipeline,a3_single_cluster_self,1.0
VENEZUELA,VENEZUELA (COUNTRY BULLETIN ACTION),,a4_pipeline,a3_single_cluster_self,1.0
BELGIUM,BELGIUM (TURKEY GREECE COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
GUATEMALA,GUATEMALA (1952 COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
CAMBODIA,CAMBODIA (1952 COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
AUSTRIA,AUSTRIA (COUNTRY BULLETIN DONNELLY),,a4_pipeline,a3_single_cluster_self,1.0
SUDAN,SUDAN (BULLETIN EGYPT FRANCE),,a4_pipeline,a3_single_cluster_self,1.0
CHAIRMAN,CHAIRMAN (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
LIBYA,LIBYA (COUNTRY BULLETIN INDEPENDENCE),,a4_pipeline,a3_single_cluster_self,1.0
SUPREME ALLIED COMMANDER EUROPE,SUPREME ALLIED COMMANDER EUROPE (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
ASSISTANT CHIEF OF STAFF INTELLIGENCE DEPARTMENT OF THE AIR FORCE,ASSISTANT CHIEF OF STAFF INTELLIGENCE DEPARTMENT OF THE AIR FORCE (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
CHAIRMAN THE JOINT CHIEFS OF STAFF,CHAIRMAN THE JOINT CHIEFS OF STAFF (COMMANDANT MARINE STATES),,a4_pipeline,a3_single_cluster_self,1.0
CHIEF OF NAVAL OPERATIONS UNITED STATES NAVY,CHIEF OF NAVAL OPERATIONS UNITED STATES NAVY (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
CHIEF OF STAFF UNITED STATES AIR FORCE,CHIEF OF STAFF UNITED STATES AIR FORCE (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
CHIEF OF STAFF UNITED STATES ARMY,CHIEF OF STAFF UNITED STATES ARMY (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
COMMANDANT UNITED STATES MARINE CORPS,COMMANDANT UNITED STATES MARINE CORPS (JOINT STAFF NAVY),,a4_pipeline,a3_single_cluster_self,1.0
DEPUTY SECRETARY OF DEFENSE,DEPUTY SECRETARY OF DEFENSE (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
DIRECTOR THE JOINT STAFF,DIRECTOR THE JOINT STAFF (COMMANDANT MARINE STATES),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF THE AIR FORCE,SECRETARY OF THE AIR FORCE (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF THE ARMY,SECRETARY OF THE ARMY (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF THE NAVY,SECRETARY OF THE NAVY (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
GUINEA,GUINEA (COUNTRY BULLETIN IS),,a4_pipeline,a3_single_cluster_self,1.0
YEMEN,YEMEN (COUNTRY BULLETIN EGYPT),,a4_pipeline,a3_single_cluster_self,1.0
GIZENGA,GIZENGA (LUMUMBA BULLETIN UN),,a4_pipeline,a3_single_cluster_self,1.0
HANOI,HANOI (VIET BULLETIN MINH),,a4_pipeline,a3_single_cluster_self,1.0
RHEE,RHEE (BULLETIN ROK INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
DIRECTOR FOR INTELLIGENCE THE JOINT STAFF,DIRECTOR FOR INTELLIGENCE THE JOINT STAFF (CHIEFS CHAIRMAN DEFENSE),,a4_pipeline,a3_single_cluster_self,1.0
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC (RICA COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF COMMERCE,SECRETARY OF COMMERCE (JOINT CHIEFS CHAIRMAN),,a4_pipeline,a3_single_cluster_self,1.0
CENTRAL INTELLIGENCE BULLETIN,CENTRAL INTELLIGENCE BULLETIN (DOCUMENT STATES STAFF),,a4_pipeline,a3_single_cluster_self,1.0
CYPRUS,CYPRUS (SITUATION BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
BRITISH,BRITISH (BULLETIN PRESENT INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE DEPARTMENT OF ARMY,ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE DEPARTMENT OF ARMY (BULLETIN SPECIAL AFFAIRS),,a4_pipeline,a3_single_cluster_self,1.0
DIRECTOR OF NAVAL INTELLIGENCE DEPARTMENT OF NAVY,DIRECTOR OF NAVAL INTELLIGENCE DEPARTMENT OF NAVY (ASSISTANT BULLETIN SPECIAL),,a4_pipeline,a3_single_cluster_self,1.0
WEST BERLIN,WEST BERLIN (GERMANY BULLETIN SOVIET),,a4_pipeline,a3_single_cluster_self,1.0
GHANA,GHANA (USSR COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
QASIM,QASIM (BULLETIN LEADER INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
RUMANIA,RUMANIA (BULLETIN MINH LATTRE),,a4_pipeline,a3_single_cluster_self,1.0
BOLIVIA,BOLIVIA (PAZ ESTENSSORO COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
PRESIDENT RHEE,RHEE,,a4_pipeline,accept_rule,1.0
GERMANY,GERMANY (COUNTRY BULLETIN FRANCE),,a4_pipeline,a3_single_cluster_self,1.0
FIDEL CASTRO,FIDEL CASTRO (BULLETIN HAVANA LEADER),,a4_pipeline,a3_single_cluster_self,1.0
MOLOTOV,MOLOTOV (BULLETIN SITUATION INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
VIETNAM,VIETNAM (COUNTRY BULLETIN US),,a4_pipeline,a3_single_cluster_self,1.0
LEOPOLDVILLE,LEOPOLDVILLE (BULLETIN MAY CONGO),,a4_pipeline,a3_single_cluster_self,1.0
SPAIN,SPAIN (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ETHIOPIA,ETHIOPIA (COUNTRY BULLETIN IS),,a4_pipeline,a3_single_cluster_self,1.0
ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS (COMMANDANT JOINT MARINE),,a4_pipeline,a3_single_cluster_self,1.0
NETHERLANDS,NETHERLANDS (COUNTRY BULLETIN US),,a4_pipeline,a3_single_cluster_self,1.0
BAO DAI,BAO DAI (HEATH BULLETIN TRAN),,a4_pipeline,a3_single_cluster_self,1.0
PRAVDA,PRAVDA (BULLETIN NEWSPAPER KOREAN),,a4_pipeline,a3_single_cluster_self,1.0
PRESIDENT SUKARNO,SUKARNO,,a4_pipeline,accept_rule,1.0
BEN GURION,BEN GURION (YADIN BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ALBANIA,YUGOSLAVIA (COUNTRY BULLETIN ALBANIA),,a4_pipeline,a5_consolidated,0.8877
PANAMA,PANAMA (COUNTRY BULLETIN BOLIVIA),,a4_pipeline,a3_single_cluster_self,1.0
PORTUGAL,PORTUGAL (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ECUADOR,ECUADOR (1952 COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
TAIWAN,TAIWAN (BULLETIN 11 INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
NEW DELHI,NEW DELHI (INDIA CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
TAIPEI,TAIPEI (SITUATION BULLETIN MACDONALD),,a4_pipeline,a3_single_cluster_self,1.0
FRENCH,FRENCH (BULLETIN COUNTRY INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
KISHI,KISHI (BULLETIN 1954 YOSHIDA),,a4_pipeline,a3_single_cluster_self,1.0
CHILE,CHILE (COUNTRY BULLETIN CHILEAN),,a4_pipeline,a3_single_cluster_self,1.0
NICARAGUA,NICARAGUA (HONDURAS GUATEMALA SALVADOR),,a4_pipeline,a3_single_cluster_self,1.0
NEPAL,NEPAL (NEPALESE IRAN COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
MIKOYAN,MIKOYAN (BULLETIN PRAVDA MOSCOW),,a4_pipeline,a3_single_cluster_self,1.0
GOMULKA,GOMULKA (SPYCHALSKI BULLETIN POLISH),,a4_pipeline,a3_single_cluster_self,1.0
FINLAND,FINLAND (COUNTRY BULLETIN EGYPT),,a4_pipeline,a3_single_cluster_self,1.0
PHOUMI,GENERAL PHOUMI,,a4_pipeline,accept_rule,1.0
BULGARIA,BULGARIA (COUNTRY BULLETIN INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
LUANG PRABANG,LUANG PRABANG (LAOS VIET BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
HO CHI MINH,HO CHI MINH (LATTRE BULLETIN LEADER),,a4_pipeline,a3_single_cluster_self,1.0
SAIGON,SAIGON (1952 BULLETIN CITY),,a4_pipeline,a3_single_cluster_self,1.0
TEHRAN,TEHRAN (BULLETIN BURMESE IRAN),,a4_pipeline,a3_single_cluster_self,1.0
FORMOSA,FORMOSA (USSR BULLETIN SOVIET),,a4_pipeline,a3_single_cluster_self,1.0
PARIS,PARIS (BULLETIN 21 INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
HONDURAS,HONDURAS (COUNTRY BULLETIN GUATEMALA),,a4_pipeline,a3_single_cluster_self,1.0
HATTA,HATTA (BULLETIN SUKARNO INDONESIA),,a4_pipeline,a3_single_cluster_self,1.0
MALENKOV,MALENKOV (BULLETIN IS IRANIAN),,a4_pipeline,a3_single_cluster_self,1.0
ARCHBISHOP MAKARIOS,ARCHBISHOP MAKARIOS (CYPRUS BULLETIN LEADER),,a4_pipeline,a3_single_cluster_self,1.0
COSTA RICA,COSTA RICA (COUNTRY BULLETIN IS),,a4_pipeline,a3_single_cluster_self,1.0
EDEN,EDEN (BULLETIN WHO INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
BAGHDAD,BAGHDAD (1952 IRAQ CAPITAL),,a4_pipeline,a3_single_cluster_self,1.0
DALAI LAMA,DALAI LAMA (TIBET BULLETIN LEADER),,a4_pipeline,a3_single_cluster_self,1.0
DAMASCUS,DAMASCUS (CAPITAL BULLETIN SYRIA),,a4_pipeline,a3_single_cluster_self,1.0
REPUBLIC OF THE CONGO,REPUBLIC OF THE CONGO (LUMUMBA INDONESIA COUNTRY),,a4_pipeline,a3_single_cluster_self,1.0
SOUVANNA,SOUVANNA (BULLETIN IS SYRIA),,a4_pipeline,a3_single_cluster_self,1.0
KATANGA,KATANGA (LUMUMBA BULLETIN BRUSSELS),,a4_pipeline,a3_single_cluster_self,1.0
COLOMBIA,COLOMBIA (1952 COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
MEXICO,MEXICO (COUNTRY BULLETIN CZECHOSLOVAKIA),,a4_pipeline,a3_single_cluster_self,1.0
EL SALVADOR,EL SALVADOR (COUNTRY BULLETIN GUATEMALA),,a4_pipeline,a3_single_cluster_self,1.0
TRIESTE,TRIESTE (BULLETIN YUGOSLAVIA SOVIET),,a4_pipeline,a3_single_cluster_self,1.0
DIEN BIEN PHU,DIEN BIEN PHU (VIET BULLETIN MINH),,a4_pipeline,a3_single_cluster_self,1.0
CHANG MYON,CHANG MYON (KOREA BULLETIN PUNG),,a4_pipeline,a3_single_cluster_self,1.0
BERLIN,BERLIN (BULLETIN CITY USSR),,a4_pipeline,a3_single_cluster_self,1.0
INDOCHINA,INDOCHINA (LATTRE BULLETIN REGION),,a4_pipeline,a3_single_cluster_self,1.0
PHILIPPINES,PHILIPPINES (COUNTRY BULLETIN COWEN),,a4_pipeline,a3_single_cluster_self,1.0
AMERICAN AMBASSADOR,AMERICAN AMBASSADOR (FINANCIAL BULLETIN SPAIN),,a4_pipeline,a3_single_cluster_self,1.0
NATIONALIST CHINA,NATIONALIST CHINA (BULLETIN IS JAPAN),,a4_pipeline,a3_single_cluster_self,1.0
STANLEYVILLE,STANLEYVILLE (LUMUMBA BULLETIN PUBLIQUE),,a4_pipeline,a3_single_cluster_self,1.0
PRINCE SIHANOUK,SIHANOUK,,a4_pipeline,accept_rule,1.0
URUGUAY,URUGUAY (COUNTRY BULLETIN ARGENTINA),,a4_pipeline,a3_single_cluster_self,1.0
SECRETARY OF STATE,SECRETARY OF STATE (HEAD BULLETIN INVESTIGATION),,a4_pipeline,a3_single_cluster_self,1.0
SINGAPORE,SINGAPORE (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
LONDON,LONDON (1952 BULLETIN MEASURES),,a4_pipeline,a3_single_cluster_self,1.0
BIDAULT,BIDAULT (1952 BULLETIN PLEVEN),,a4_pipeline,a3_single_cluster_self,1.0
RANGOON,RANGOON (BULLETIN CITY USSR),,a4_pipeline,a3_single_cluster_self,1.0
MALAYA,MALAYA (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
KUWAIT,KUWAIT (BULLETIN IS TUDEH),,a4_pipeline,a3_single_cluster_self,1.0
SOUTH AFRICA,SOUTH AFRICA (COUNTRY BULLETIN NEW),,a4_pipeline,a3_single_cluster_self,1.0
CHEN YI,CHEN YI (BULLETIN COMMUNISTS WHO),,a4_pipeline,a3_single_cluster_self,1.0
ICELAND,ICELAND (COUNTRY BULLETIN YUGOSLAVIA),,a4_pipeline,a3_single_cluster_self,1.0
BAGHDAD PACT,BAGHDAD PACT (BULLETIN ALLIANCE INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
PRINCE SOUPHANNOUVONG,SOUPHANNOUVONG,,a4_pipeline,accept_rule,1.0
ATTORNEY GENERAL,ATTORNEY GENERAL (BULLETIN INTELLIGENCE HEAD),,a4_pipeline,a3_single_cluster_self,1.0
BOHLEN,BOHLEN (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
GREAT BRITAIN,GREAT BRITAIN (COUNTRY BULLETIN FRANCE),,a4_pipeline,a3_single_cluster_self,1.0
BELGRADE,BELGRADE (YUGOSLAVIA CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
HAITI,HAITI (COUNTRY BULLETIN MAY),,a4_pipeline,a3_single_cluster_self,1.0
SUBANDRIO,SUBANDRIO (BULLETIN KHRUSHCHEV WHO),,a4_pipeline,a3_single_cluster_self,1.0
PERU,PERU (CARACAS COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
AMBASSADOR BOHLEN,BOHLEN,,a4_pipeline,accept_rule,1.0
KOREA,KOREA (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
CROWN PRINCE FAYSAL,CROWN PRINCE FAYSAL (SAUD BULLETIN ARABIA),,a4_pipeline,a3_single_cluster_self,1.0
ANGOLA,ANGOLA (MOZAMBIQUE BULLETIN PORTUGAL),,a4_pipeline,a3_single_cluster_self,1.0
PEOPLES DAILY,PEOPLES DAILY (BULLETIN PEIPING NEWSPAPER),,a4_pipeline,a3_single_cluster_self,1.0
HONG KONG,HONG KONG (BULLETIN CHINESE COMPANY),,a4_pipeline,a3_single_cluster_self,1.0
TOKYO,TOKYO (VIET BULLETIN MINH),,a4_pipeline,a3_single_cluster_self,1.0
CANADA,CANADA (COUNTRY BULLETIN NATO),,a4_pipeline,a3_single_cluster_self,1.0
KRISHNA MENON,KRISHNA MENON (NEHRU BULLETIN THIMAYYA),,a4_pipeline,a3_single_cluster_self,1.0
PHNOM PENH,PHNOM PENH (CAMBODIA CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
PRESIDENT EISENHOWER,EISENHOWER,,a4_pipeline,accept_rule,1.0
OAS,ORGANIZATION OF AMERICAN STATES,,a4_pipeline,accept_rule,1.0
CASTRO,CASTRO (CUBA BATISTA BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
DENMARK,DENMARK (AS COUNTRY BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
TAIWAN STRAIT,TAIWAN STRAIT (BULLETIN ARABIA MEETING),,a4_pipeline,a3_single_cluster_self,1.0
ALGIERS,ALGIERS (BULLETIN INTELLIGENCE CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
MALI,MALI (COUNTRY BULLETIN MARCH),,a4_pipeline,a3_single_cluster_self,1.0
GENEVA,GENEVA (INTELLIGENCE BULLETIN CENTRAL),,a4_pipeline,a3_single_cluster_self,1.0
SUEZ CANAL,SUEZ CANAL (BULLETIN EGYPT AS),,a4_pipeline,a3_single_cluster_self,1.0
WARSAW,WARSAW (BULLETIN POLISH BUCHAREST),,a4_pipeline,a3_single_cluster_self,1.0
SCHUMAN,SCHUMAN (BULLETIN FRANCE UK),,a4_pipeline,a3_single_cluster_self,1.0
BUDAPEST,BUDAPEST (BULLETIN UNREST CZECHOSLOVAKIA),,a4_pipeline,a3_single_cluster_self,1.0
ZHUKOV,ZHUKOV (BULLETIN LEADER USSR),,a4_pipeline,a3_single_cluster_self,1.0
IMAM,IMAM (BULLETIN INTELLIGENCE AGAINST),,a4_pipeline,a3_single_cluster_self,1.0
SHIGEMITSU,SHIGEMITSU (YOSHIDA BULLETIN LEADER),,a4_pipeline,a3_single_cluster_self,1.0
BRITISH AMBASSADOR,BRITISH AMBASSADOR (BULLETIN IRAQ INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
KABUL,KABUL (AFGHANISTAN CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
CAPTAIN KONG LE,KONG LE,,a4_pipeline,accept_rule,1.0
DILLON,AMBASSADOR DILLON,,a4_pipeline,accept_rule,1.0
CHOU,CHOU (BULLETIN 1952 INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
NORWAY,NORWAY (COUNTRY BULLETIN YUGOSLAVIA),,a4_pipeline,a3_single_cluster_self,1.0
MACMILLAN,MACMILLAN (BULLETIN BRITAIN EGYPT),,a4_pipeline,a3_single_cluster_self,1.0
ALLISON,ALLISON (BULLETIN IS INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
BANGKOK,BANGKOK (COUP CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
FAWZI,FAWZI (BULLETIN NAGIB INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
ULBRICHT,ULBRICHT (BULLETIN BOHLEN PRESENT),,a4_pipeline,a3_single_cluster_self,1.0
ALEXANDRIA,ALEXANDRIA (TURKEY BULLETIN EGYPT),,a4_pipeline,a3_single_cluster_self,1.0
STALIN,STALIN (BULLETIN ANGLO LEADER),,a4_pipeline,a3_single_cluster_self,1.0
GAZA STRIP,GAZA STRIP (ISRAEL EGYPT BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
CHIANG CHING KUO,CHIANG CHING KUO (SHEK KAI BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
ANKARA,ANKARA (TURKEY BULLETIN YUGOSLAVIA),,a4_pipeline,a3_single_cluster_self,1.0
US AMBASSADOR,US AMBASSADOR (BULLETIN ORGANIZED MADE),,a4_pipeline,a3_single_cluster_self,1.0
ARAB STATES,ARAB STATES (BULLETIN PAKISTAN INDIA),,a4_pipeline,a3_single_cluster_self,1.0
BUENOS AIRES,BUENOS AIRES (ARGENTINA CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
KARACHI,KARACHI (BULLETIN USSR INTELLIGENCE),,a4_pipeline,a3_single_cluster_self,1.0
TEL AVIV,TEL AVIV (BULLETIN ISRAELI 1952),,a4_pipeline,a3_single_cluster_self,1.0
AUSTRALIA,AUSTRALIA (COUNTRY BULLETIN IS),,a4_pipeline,a3_single_cluster_self,1.0
BINH XUYEN,BINH XUYEN (BULLETIN 1954 BAO),,a4_pipeline,a3_single_cluster_self,1.0
PRESIDENT DIEM,DIEM,,a4_pipeline,accept_rule,1.0
SAVANNAKHET,SAVANNAKHET (SOMSANITH PHOUMI BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
BUCHAREST,BUCHAREST (RUMANIA CAPITAL BULLETIN),,a4_pipeline,a3_single_cluster_self,1.0
PRAGUE,PRAGUE (BULLETIN INTELLIGENCE CAPITAL),,a4_pipeline,a3_single_cluster_self,1.0
TIBET,TIBET (BULLETIN PEIPING SITUATION),,a4_pipeline,a3_single_cluster_self,1.0
GENERAL DE GAULLE,DE GAULLE,,a4_pipeline,accept_rule,1.0
NASUTION,GENERAL NASUTION,,a4_pipeline,accept_rule,1.0
ASSISTANT SECRETARY OF DEFENSE INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE INTERNATIONAL SECURITY AFFAIRS (JOINT STAFF NAVY),,a4_pipeline,a3_single_cluster_self,1.0
ASSISTANT TO SECRETARY OF DEFENSE SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE SPECIAL OPERATIONS (JOINT STAFF CHIEFS),,a4_pipeline,a3_single_cluster_self,1.0
