original_normalized_label,canonical_label,canonical_key,method,confidence
AMBASSADOR AUSTIN,AMBASSADOR AUSTIN (BULLETIN UN INTELLIGENCE),CANONICAL_ENTITY:AMBASSADOR_AUSTIN_BULLETIN_UN_INTELLIGENCE,a3_single_cluster_self,1.0
AMBASSADOR BISHOP,AMBASSADOR BISHOP,CANONICAL_ENTITY:AMBASSADOR_BISHOP,a5_consolidated,0.91
AMBASSADOR BONSAL,AMBASSADOR BONSAL,CANONICAL_ENTITY:AMBASSADOR_BONSAL,a5_consolidated,0.91
AMBASSADOR SPARKS,AMBASSADOR SPARKS,CANONICAL_ENTITY:AMBASSADOR_SPARKS,a5_consolidated,0.91
AMBASSADOR WHITNEY,AMBASSADOR WHITNEY,CANONICAL_ENTITY:AMBASSADOR_WHITNEY,a5_consolidated,0.91
AMBON,AMBON (BULLETIN INDONESIA SUKARNO),CANONICAL_ENTITY:AMBON_BULLETIN_INDONESIA_SUKARNO,a3_single_cluster_self,1.0
AMERICAN,AMERICAN,CANONICAL_ENTITY:AMERICAN,multi_sense_label,1.0
AMERICAN AMBASSADOR IN CAIRO,AMERICAN AMBASSADOR IN CAIRO (1952 USSR BULLETIN),CANONICAL_ENTITY:AMERICAN_AMBASSADOR_IN_CAIRO_1952_USSR_BULLETIN,a3_single_cluster_self,1.0
AMERICAN CHARGE,AMERICAN CHARGE (BULLETIN ITALY YUGOSLAVIA),CANONICAL_ENTITY:AMERICAN_CHARGE_BULLETIN_ITALY_YUGOSLAVIA,a3_single_cluster_self,1.0
AMERICAN DELEGATION,AMERICAN DELEGATION,CANONICAL_ENTITY:AMERICAN_DELEGATION,multi_sense_label,1.0
AMERICAN EMBASSY IN BONN,AMERICAN EMBASSY IN BONN,CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_BONN,multi_sense_label,1.0
AMERICAN EMBASSY IN COPENHAGEN,AMERICAN EMBASSY IN COPENHAGEN (GRUENTHER JACQUET HO),CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_COPENHAGEN_GRUENTHER_JACQUET_HO,a5_consolidated,0.91
AMERICAN EMBASSY IN KABUL,AMERICAN EMBASSY IN KABUL,CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_KABUL,multi_sense_label,1.0
AMERICAN EMBASSY IN TUNIS,AMERICAN EMBASSY IN TUNIS,CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_TUNIS,multi_sense_label,1.0
AMERICAN EMBASSY IN WARSAW,AMERICAN EMBASSY IN WARSAW,CANONICAL_ENTITY:AMERICAN_EMBASSY_IN_WARSAW,a5_consolidated,0.91
AMERICAN GOVERNMENT,AMERICAN GOVERNMENT,CANONICAL_ENTITY:AMERICAN_GOVERNMENT,multi_sense_label,1.0
AMERICAN MILITARY ATTACHE,AMERICAN MILITARY ATTACHE,CANONICAL_ENTITY:AMERICAN_MILITARY_ATTACHE,multi_sense_label,1.0
ANASTAS MIKOYAN,ANASTAS MIKOYAN (BULLETIN SOVIET WHO),CANONICAL_ENTITY:ANASTAS_MIKOYAN_BULLETIN_SOVIET_WHO,a3_single_cluster_self,1.0
ANWAR SADAT,ANWAR SADAT (BULLETIN NASR INTELLIGENCE),CANONICAL_ENTITY:ANWAR_SADAT_BULLETIN_NASR_INTELLIGENCE,a3_single_cluster_self,1.0
APRA,APRA,CANONICAL_ENTITY:APRA,multi_sense_label,1.0
ARAB SOCIALIST RESURRECTIONIST PARTY,ARAB SOCIALIST RESURRECTIONIST PARTY (NAZIR FANSA MATSUMOTO),CANONICAL_ENTITY:ARAB_SOCIALIST_RESURRECTIONIST_PARTY_NAZIR_FANSA_MATSUMOTO,a5_consolidated,0.91
ARAM,ARAM (IRAN USSR BULLETIN),CANONICAL_ENTITY:ARAM_IRAN_USSR_BULLETIN,a3_single_cluster_self,1.0
ARATA SUGIHARA,ARATA SUGIHARA (BULLETIN HATOYAMA TACHENS),CANONICAL_ENTITY:ARATA_SUGIHARA_BULLETIN_HATOYAMA_TACHENS,a3_single_cluster_self,1.0
ARGENTINE PRESIDENT FRONDIZI,ARGENTINE PRESIDENT FRONDIZI (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:ARGENTINE_PRESIDENT_FRONDIZI_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0
ASSEMBLY,ASSEMBLY,CANONICAL_ENTITY:ASSEMBLY,multi_sense_label,1.0
ASSOCIATED STATES,ASSOCIATED STATES,CANONICAL_ENTITY:ASSOCIATED_STATES,multi_sense_label,1.0
ASWAN DAM,ASWAN DAM,CANONICAL_ENTITY:ASWAN_DAM,a5_consolidated,0.91
AUSTRIAN CHANCELLOR,AUSTRIAN CHANCELLOR (BULLETIN AUSTRIA POLITICAL),CANONICAL_ENTITY:AUSTRIAN_CHANCELLOR_BULLETIN_AUSTRIA_POLITICAL,a3_single_cluster_self,1.0
BADEN WUERTTEMBERG,BADEN WUERTTEMBERG (GERMANY BULLETIN IS),CANONICAL_ENTITY:BADEN_WUERTTEMBERG_GERMANY_BULLETIN_IS,a3_single_cluster_self,1.0
BANK OF KOREA,BANK OF KOREA (TUNG TSE LIUSHAO),CANONICAL_ENTITY:BANK_OF_KOREA_TUNG_TSE_LIUSHAO,a5_consolidated,0.91
BELGIAN FIRM,BELGIAN FIRM,CANONICAL_ENTITY:BELGIAN_FIRM,multi_sense_label,1.0
BEVAN,BEVAN (BULLETIN LABOR WHO),CANONICAL_ENTITY:BEVAN_BULLETIN_LABOR_WHO,a3_single_cluster_self,1.0
BONG SOUVANNAVONG,BONG SOUVANNAVONG (BULLETIN IS PHOUMA),CANONICAL_ENTITY:BONG_SOUVANNAVONG_BULLETIN_IS_PHOUMA,a3_single_cluster_self,1.0
BORNEO,BORNEO (BULLETIN DJAKARTA ISLAND),CANONICAL_ENTITY:BORNEO_BULLETIN_DJAKARTA_ISLAND,a3_single_cluster_self,1.0
BOYER DE LATOUR,BOYER DE LATOUR (BULLETIN RESIDENT ISTIQLAL),CANONICAL_ENTITY:BOYER_DE_LATOUR_BULLETIN_RESIDENT_ISTIQLAL,a3_single_cluster_self,1.0
