original_normalized_label,canonical_label,canonical_key,method,confidence
BRITISH TRAWLER,BRITISH TRAWLER (EXILE NICARAGUAN WELL),CANONICAL_ENTITY:BRITISH_TRAWLER_EXILE_NICARAGUAN_WELL,a3_single_cluster_self,1.0
BRITISH TRAWLERS FEDERATION,BRITISH TRAWLERS FEDERATION (ICELANDS ICELAND BRITAIN),CANONICAL_ENTITY:BRITISH_TRAWLERS_FEDERATION_ICELANDS_ICELAND_BRITAIN,a3_single_cluster_self,1.0
BRITISH TREASURY,BRITISH TREASURY (KOTELAWALA QASHQAI ZAHEDI),CANONICAL_ENTITY:BRITISH_TREASURY_KOTELAWALA_QASHQAI_ZAHEDI,a3_single_cluster_self,1.0
BRITISH TRUCK,BRITISH TRUCK (BABELSBERG GROMYKO ADENAUER),CANONICAL_ENTITY:BRITISH_TRUCK_BABELSBERG_GROMYKO_ADENAUER,a3_single_cluster_self,1.0
BRITISH UN CHIEF DELEGATE DIXON,BRITISH UN CHIEF DELEGATE DIXON (PHNOM PENH HAMMARSKJOLD),CANONICAL_ENTITY:BRITISH_UN_CHIEF_DELEGATE_DIXON_PHNOM_PENH_HAMMARSKJOLD,a3_single_cluster_self,1.0
BRITISH UN DELEGATE,BRITISH UN DELEGATE (LAWSON LACOSTE GURION),CANONICAL_ENTITY:BRITISH_UN_DELEGATE_LAWSON_LACOSTE_GURION,a3_single_cluster_self,1.0
BRITISH UN DELEGATE JEBB,BRITISH UN DELEGATE JEBB (29 NATSIR SUKARNO),CANONICAL_ENTITY:BRITISH_UN_DELEGATE_JEBB_29_NATSIR_SUKARNO,a3_single_cluster_self,1.0
BRITISH UN DELEGATES,BRITISH UN DELEGATES (SATTERTHWAITE ISKANDER CHAUDRI),CANONICAL_ENTITY:BRITISH_UN_DELEGATES_SATTERTHWAITE_ISKANDER_CHAUDRI,a3_single_cluster_self,1.0
BRITISH UN REPRESENTATIVES,BRITISH UN REPRESENTATIVES (PRESS COMMUNISTS OFFICE),CANONICAL_ENTITY:BRITISH_UN_REPRESENTATIVES_PRESS_COMMUNISTS_OFFICE,a3_single_cluster_self,1.0
BRITISH VENOM,BRITISH VENOM (PHILIPPINE SMELA YEMEN),CANONICAL_ENTITY:BRITISH_VENOM_PHILIPPINE_SMELA_YEMEN,a3_single_cluster_self,1.0
BRITISH VICE CONSUL,BRITISH VICE CONSUL (YUGOSLAVIA TITO AMERICA),CANONICAL_ENTITY:BRITISH_VICE_CONSUL_YUGOSLAVIA_TITO_AMERICA,a3_single_cluster_self,1.0
BROHI,EMMERSON (MOHAMMAD BROHI GHULAM),CANONICAL_ENTITY:EMMERSON_MOHAMMAD_BROHI_GHULAM,a5_consolidated,0.9935
BROWN,AMBASSADOR BROWN,CANONICAL_ENTITY:AMBASSADOR_BROWN,accept_rule,1.0
BRUNO KREISKY,BRUNO KREISKY (PERU ITALY AUSTRIA),CANONICAL_ENTITY:BRUNO_KREISKY_PERU_ITALY_AUSTRIA,a3_single_cluster_self,1.0
BRUNO PITTERMANN,BRUNO PITTERMANN (THOMPSON SCHAERF COTY),CANONICAL_ENTITY:BRUNO_PITTERMANN_THOMPSON_SCHAERF_COTY,a3_single_cluster_self,1.0
BRUSSELS TREATY,BRUSSELS TREATY (RUMANIA HUNGARY COLOMBO),CANONICAL_ENTITY:BRUSSELS_TREATY_RUMANIA_HUNGARY_COLOMBO,a3_single_cluster_self,1.0
BRUSSELS TREATY ORGANIZATION,BRUSSELS TREATY ORGANIZATION (TEITGEN CONANT MENDES),CANONICAL_ENTITY:BRUSSELS_TREATY_ORGANIZATION_TEITGEN_CONANT_MENDES,a3_single_cluster_self,1.0
BRZEG,BRZEG (LYNCH SAADAWI BECHIR),CANONICAL_ENTITY:BRZEG_LYNCH_SAADAWI_BECHIR,a3_single_cluster_self,1.0
BUCHAREST RADIO,BUCHAREST RADIO (RUMANIA CZECHOSLOVAKIA POLAND),CANONICAL_ENTITY:BUCHAREST_RADIO_RUMANIA_CZECHOSLOVAKIA_POLAND,a3_single_cluster_self,1.0
BUCHAREST RAILWAY WORKERS,BUCHAREST RAILWAY WORKERS (DABROWSKI MILITIA COAL),CANONICAL_ENTITY:BUCHAREST_RAILWAY_WORKERS_DABROWSKI_MILITIA_COAL,a3_single_cluster_self,1.0
BUDDHIST MONKS,BUDDHIST MONKS (VONGVICHIT KHOUANG XIENG),CANONICAL_ENTITY:BUDDHIST_MONKS_VONGVICHIT_KHOUANG_XIENG,a3_single_cluster_self,1.0
BUDDHIST NATIONALIST FORCES,BUDDHIST NATIONALIST FORCES (CEYLON KARAMI DAHANAYAKE),CANONICAL_ENTITY:BUDDHIST_NATIONALIST_FORCES_CEYLON_KARAMI_DAHANAYAKE,a3_single_cluster_self,1.0
BUDDHIST ORGANIZATIONS,BUDDHIST ORGANIZATIONS (DALAI LAMA NE),CANONICAL_ENTITY:BUDDHIST_ORGANIZATIONS_DALAI_LAMA_NE,a3_single_cluster_self,1.0
BUDDHIST PRIEST,BUDDHIST PRIEST (SRI AFGHANISTAN DAHANAYAKE),CANONICAL_ENTITY:BUDDHIST_PRIEST_SRI_AFGHANISTAN_DAHANAYAKE,a3_single_cluster_self,1.0
BUDGET MINISTER PELLA,BUDGET MINISTER PELLA (KEKKONEN USSR GASPERI),CANONICAL_ENTITY:BUDGET_MINISTER_PELLA_KEKKONEN_USSR_GASPERI,a3_single_cluster_self,1.0
BUDGET MINISTER VANONI,BUDGET MINISTER VANONI (AMINTORE LACY SEGNI),CANONICAL_ENTITY:BUDGET_MINISTER_VANONI_AMINTORE_LACY_SEGNI,a3_single_cluster_self,1.0
BUGANDA KING,BUGANDA KING (SABRI USSR NASIR),CANONICAL_ENTITY:BUGANDA_KING_SABRI_USSR_NASIR,a3_single_cluster_self,1.0
BUGHICI,I LAVRENTIEV (VISHINSKY RUMANIA BUGHICI),CANONICAL_ENTITY:I_LAVRENTIEV_VISHINSKY_RUMANIA_BUGHICI,a5_consolidated,0.9296
BUI CHU,BUI CHU (DIEM PHAT ITALY),CANONICAL_ENTITY:BUI_CHU_DIEM_PHAT_ITALY,a3_single_cluster_self,1.0
BULGANIN GOVERNMENT,BULGANIN GOVERNMENT (ZERBST TAKASAKI 17),CANONICAL_ENTITY:BULGANIN_GOVERNMENT_ZERBST_TAKASAKI_17,a3_single_cluster_self,1.0
BULGARIAN CABINET,BULGARIAN CABINET (CYRANKIEWICZ SUKARNO GOMULKA),CANONICAL_ENTITY:BULGARIAN_CABINET_CYRANKIEWICZ_SUKARNO_GOMULKA,a3_single_cluster_self,1.0
BULGARIAN COMMUNIST LEADERS,BULGARIAN COMMUNIST LEADERS (TRAYKOV GASPAR SANDOR),CANONICAL_ENTITY:BULGARIAN_COMMUNIST_LEADERS_TRAYKOV_GASPAR_SANDOR,a3_single_cluster_self,1.0
BULGARIAN COMMUNIST PARTY,BULGARIAN COMMUNIST PARTY (VOITEC TRAICHO RUMANIA),CANONICAL_ENTITY:BULGARIAN_COMMUNIST_PARTY_VOITEC_TRAICHO_RUMANIA,a3_single_cluster_self,1.0
BULGARIAN FREIGHTER CHIPKA,BULGARIAN FREIGHTER CHIPKA (LIBERIA LATAKIA SYRIA),CANONICAL_ENTITY:BULGARIAN_FREIGHTER_CHIPKA_LIBERIA_LATAKIA_SYRIA,a3_single_cluster_self,1.0
BULGARIAN LAND SEA AND AIR FORCES,BULGARIAN LAND SEA AND AIR FORCES (TURKESTAN TRANSCAUCASUS 50TH),CANONICAL_ENTITY:BULGARIAN_LAND_SEA_AND_AIR_FORCES_TURKESTAN_TRANSCAUCASUS_50TH,a3_single_cluster_self,1.0
BULGARIAN MINISTRY OF NATIONAL DEFENSE,BULGARIAN MINISTRY OF NATIONAL DEFENSE (MACHINES ENTERPRISE BULGARIA),CANONICAL_ENTITY:BULGARIAN_MINISTRY_OF_NATIONAL_DEFENSE_MACHINES_ENTERPRISE_BULGARIA,a3_single_cluster_self,1.0
BULGARIAN OFFICIALS,BULGARIAN OFFICIALS (SOFIA BAUDIER RAVNDAL),CANONICAL_ENTITY:BULGARIAN_OFFICIALS_SOFIA_BAUDIER_RAVNDAL,a3_single_cluster_self,1.0
BULGARIAN PARTY,BULGARIAN PARTY (VREME TASKOV NOVO),CANONICAL_ENTITY:BULGARIAN_PARTY_VREME_TASKOV_NOVO,a3_single_cluster_self,1.0
BULGARIAN PARTY CENTRAL COMMITTEE,BULGARIAN PARTY CENTRAL COMMITTEE (CYRANKIEWICZ SUKARNO GOMULKA),CANONICAL_ENTITY:BULGARIAN_PARTY_CENTRAL_COMMITTEE_CYRANKIEWICZ_SUKARNO_GOMULKA,a3_single_cluster_self,1.0
BULGARIAN PARTY DAILY,BULGARIAN PARTY DAILY (ZYCIE WARSZAWY POLAND),CANONICAL_ENTITY:BULGARIAN_PARTY_DAILY_ZYCIE_WARSZAWY_POLAND,a3_single_cluster_self,1.0
BULGARIAN REGIME,BULGARIAN REGIME (BENTENG SIMBOLON POLAND),CANONICAL_ENTITY:BULGARIAN_REGIME_BENTENG_SIMBOLON_POLAND,a3_single_cluster_self,1.0
BULGARIAN SECURITY POLICE,BULGARIAN SECURITY POLICE (SAIGON US TUDEH),CANONICAL_ENTITY:BULGARIAN_SECURITY_POLICE_SAIGON_US_TUDEH,a3_single_cluster_self,1.0
BULGARIAN STATE ENTERPRISE FOR IMPORT OF METALS AND MACHINES,BULGARIAN STATE ENTERPRISE FOR IMPORT OF METALS AND MACHINES (BULGARIA TIMES BURMA),CANONICAL_ENTITY:BULGARIAN_STATE_ENTERPRISE_FOR_IMPORT_OF_METALS_AND_MACHINES_BULGARIA_TIMES_BURMA,a3_single_cluster_self,1.0
BULGARIAN YUGOSLAV CONTACTS,BULGARIAN YUGOSLAV CONTACTS (PRAVDA KOJE INCIDENT),CANONICAL_ENTITY:BULGARIAN_YUGOSLAV_CONTACTS_PRAVDA_KOJE_INCIDENT,a3_single_cluster_self,1.0
BUNCHEZ,BUNCHEZ AND COLONEL GOHAR (STRIP UNEF),CANONICAL_ENTITY:BUNCHEZ_AND_COLONEL_GOHAR_STRIP_UNEF,a5_consolidated,0.8425
BUNDESTAG DEFENSE COMMITTEE,BUNDESTAG DEFENSE COMMITTEE (EGYPTIANS TASS KINGDOM),CANONICAL_ENTITY:BUNDESTAG_DEFENSE_COMMITTEE_EGYPTIANS_TASS_KINGDOM,a3_single_cluster_self,1.0
BUNDESTAG FACTION OF THE CHRISTIAN DEMOCRATIC UNION AND CHRISTIAN SOCIAL UNION,BUNDESTAG FACTION OF THE CHRISTIAN DEMOCRATIC UNION AND CHRISTIAN SOCIAL UNION (YUGOSLAVIA HALLSTEIN BRENTANO),CANONICAL_ENTITY:BUNDESTAG_FACTION_OF_THE_CHRISTIAN_DEMOCRATIC_UNION_AND_CHRISTIAN_SOCIAL_UNION_YUGOSLAVIA_HALLSTEIN_BRENTANO,a3_single_cluster_self,1.0
BUNDESTAG FOREIGN AFFAIRS COMMITTEE,BUNDESTAG FOREIGN AFFAIRS COMMITTEE (HILGER SCHERPENBERG BRENTANO),CANONICAL_ENTITY:BUNDESTAG_FOREIGN_AFFAIRS_COMMITTEE_HILGER_SCHERPENBERG_BRENTANO,a3_single_cluster_self,1.0
BUNDESTAG LEADER KRONE,BUNDESTAG LEADER KRONE (CHANCELLOR KUO GERSTENMAIER),CANONICAL_ENTITY:BUNDESTAG_LEADER_KRONE_CHANCELLOR_KUO_GERSTENMAIER,a3_single_cluster_self,1.0
BURGESS,AMBASSADOR BURGESS,CANONICAL_ENTITY:AMBASSADOR_BURGESS,accept_rule,1.0
BURMA RED FLAG COMMUNIST FACTION,BURMA RED FLAG COMMUNIST FACTION (KARENS THAN TUN),CANONICAL_ENTITY:BURMA_RED_FLAG_COMMUNIST_FACTION_KARENS_THAN_TUN,a3_single_cluster_self,1.0
BURMA ROAD,BURMA ROAD (KUNMING YUNNAN FAR),CANONICAL_ENTITY:BURMA_ROAD_KUNMING_YUNNAN_FAR,a3_single_cluster_self,1.0
BURMA THAILAND BORDER AREA,BURMA THAILAND BORDER AREA (IVORY BOIGNY HOUPHOUET),CANONICAL_ENTITY:BURMA_THAILAND_BORDER_AREA_IVORY_BOIGNY_HOUPHOUET,a3_single_cluster_self,1.0
BURMAH SHELL,BURMAH SHELL (CALTEX ICELANDIC REBELS),CANONICAL_ENTITY:BURMAH_SHELL_CALTEX_ICELANDIC_REBELS,a3_single_cluster_self,1.0
BURMAN DOMINATED GOVERNMENT,BURMAN DOMINATED GOVERNMENT (THAIKE MANDALAY SHWE),CANONICAL_ENTITY:BURMAN_DOMINATED_GOVERNMENT_THAIKE_MANDALAY_SHWE,a3_single_cluster_self,1.0
BURMESE ACTING FOREIGN MINISTER,BURMESE ACTING FOREIGN MINISTER (MALCOLM KARENS VOLUNTEER),CANONICAL_ENTITY:BURMESE_ACTING_FOREIGN_MINISTER_MALCOLM_KARENS_VOLUNTEER,a3_single_cluster_self,1.0
BURMESE AMBASSADOR TO MOSCOW,BURMESE AMBASSADOR TO MOSCOW (KRISHNA THIMAYYA MENON),CANONICAL_ENTITY:BURMESE_AMBASSADOR_TO_MOSCOW_KRISHNA_THIMAYYA_MENON,a3_single_cluster_self,1.0
BURMESE AMBASSADOR TO PEIPING,BURMESE AMBASSADOR TO PEIPING (METALLURGY CLARK CHASE),CANONICAL_ENTITY:BURMESE_AMBASSADOR_TO_PEIPING_METALLURGY_CLARK_CHASE,a3_single_cluster_self,1.0
BURMESE ARMED FORCES,BURMESE ARMED FORCES,CANONICAL_ENTITY:BURMESE_ARMED_FORCES,a5_consolidated,0.91
BURMESE CABINET MINISTER,BURMESE CABINET MINISTER (SEATO PRIDI VIET),CANONICAL_ENTITY:BURMESE_CABINET_MINISTER_SEATO_PRIDI_VIET,a3_single_cluster_self,1.0
BURMESE CHAMBER OF DEPUTIES,BURMESE CHAMBER OF DEPUTIES (FINNISH FAGERHOLM UNU),CANONICAL_ENTITY:BURMESE_CHAMBER_OF_DEPUTIES_FINNISH_FAGERHOLM_UNU,a3_single_cluster_self,1.0
BURMESE COMMANDER IN CHIEF NE WIN,BURMESE COMMANDER IN CHIEF NE WIN (THAKIN KINGDOM NU),CANONICAL_ENTITY:BURMESE_COMMANDER_IN_CHIEF_NE_WIN_THAKIN_KINGDOM_NU,a3_single_cluster_self,1.0
BURMESE COMMUNIST,BURMESE COMMUNIST (MAHENDRA GYI NEPALI),CANONICAL_ENTITY:BURMESE_COMMUNIST_MAHENDRA_GYI_NEPALI,a3_single_cluster_self,1.0
BURMESE DELEGATION,BURMESE DELEGATION (SUEHIRO NISHIO ARABIA),CANONICAL_ENTITY:BURMESE_DELEGATION_SUEHIRO_NISHIO_ARABIA,a3_single_cluster_self,1.0
BURMESE ELECTIONS,BURMESE ELECTIONS (UNU NEHRU HUSSAIN),CANONICAL_ENTITY:BURMESE_ELECTIONS_UNUNEHRU_HUSSAIN,a3_single_cluster_self,1.0
BURMESE EMBASSY,BURMESE EMBASSY (YUGOSLAVIA KHRUSHCHEV USSR),CANONICAL_ENTITY:BURMESE_EMBASSY_YUGOSLAVIA_KHRUSHCHEV_USSR,a3_single_cluster_self,1.0
BURMESE FORCES,BURMESE FORCES (HSAT YEH SALVATION),CANONICAL_ENTITY:BURMESE_FORCES_HSAT_YEH_SALVATION,a3_single_cluster_self,1.0
BURMESE FOREIGN AFFAIRS ADVISORY COMMITTEE,BURMESE FOREIGN AFFAIRS ADVISORY COMMITTEE (TEHRAN QAVAM BURMA),CANONICAL_ENTITY:BURMESE_FOREIGN_AFFAIRS_ADVISORY_COMMITTEE_TEHRAN_QAVAM_BURMA,a3_single_cluster_self,1.0
BURMESE FOREIGN MINISTRY,BURMESE FOREIGN MINISTRY (CATALYTIC BRITAIN BAKU),CANONICAL_ENTITY:BURMESE_FOREIGN_MINISTRY_CATALYTIC_BRITAIN_BAKU,a3_single_cluster_self,1.0
BURMESE INSURGENT HELD TERRITORY,BURMESE INSURGENT HELD TERRITORY (MOULMEIN NNRC THAILAND),CANONICAL_ENTITY:BURMESE_INSURGENT_HELD_TERRITORY_MOULMEIN_NNRC_THAILAND,a3_single_cluster_self,1.0
BURMESE INSURGENT LEADERS,BURMESE INSURGENT LEADERS (MALIK VIET MINH),CANONICAL_ENTITY:BURMESE_INSURGENT_LEADERS_MALIK_VIET_MINH,a3_single_cluster_self,1.0
BURMESE LEADER,BURMESE LEADER (DILLON VINOGRADOV CYPRUS),CANONICAL_ENTITY:BURMESE_LEADER_DILLON_VINOGRADOV_CYPRUS,a3_single_cluster_self,1.0
BURMESE MILITARY POLICE,BURMESE MILITARY POLICE (NATIONALISTS STUDENT MOLLET),CANONICAL_ENTITY:BURMESE_MILITARY_POLICE_NATIONALISTS_STUDENT_MOLLET,a3_single_cluster_self,1.0
BURMESE MINISTER OF TRADE DEVELOPMENT,BURMESE MINISTER OF TRADE DEVELOPMENT (COLLINS BAO BROTHERHOOD),CANONICAL_ENTITY:BURMESE_MINISTER_OF_TRADE_DEVELOPMENT_COLLINS_BAO_BROTHERHOOD,a3_single_cluster_self,1.0
BURMESE OFFICIALS,BURMESE OFFICIALS (LATINA PRENSA SEGNI),CANONICAL_ENTITY:BURMESE_OFFICIALS_LATINA_PRENSA_SEGNI,a3_single_cluster_self,1.0
BURMESE OPPOSITION LEADERS,BURMESE OPPOSITION LEADERS (POLAND ISRAEL INTELLIGENCE),CANONICAL_ENTITY:BURMESE_OPPOSITION_LEADERS_POLAND_ISRAEL_INTELLIGENCE,a3_single_cluster_self,1.0
BURMESE POLICE,BURMESE POLICE (MUCCIO TURKEY OFFICER),CANONICAL_ENTITY:BURMESE_POLICE_MUCCIO_TURKEY_OFFICER,a3_single_cluster_self,1.0
BURMESE PRESIDENT,BURMESE PRESIDENT (ZEMLYA OLENYA FINLAND),CANONICAL_ENTITY:BURMESE_PRESIDENT_ZEMLYA_OLENYA_FINLAND,a3_single_cluster_self,1.0
BURMESE PRESS,BURMESE PRESS (YEH SHAN RANKIN),CANONICAL_ENTITY:BURMESE_PRESS_YEH_SHAN_RANKIN,a3_single_cluster_self,1.0
BURMESE REPRESENTATIVE,BURMESE REPRESENTATIVE (MI BRITAIN TAIPEI),CANONICAL_ENTITY:BURMESE_REPRESENTATIVE_MI_BRITAIN_TAIPEI,a3_single_cluster_self,1.0
BURMESE REPRESENTATIVES,BURMESE REPRESENTATIVES (MI IRAN CONTROLLED),CANONICAL_ENTITY:BURMESE_REPRESENTATIVES_MI_IRAN_CONTROLLED,a3_single_cluster_self,1.0
BURMESE RICE,BURMESE RICE (TUNG TSE MUKDEN),CANONICAL_ENTITY:BURMESE_RICE_TUNG_TSE_MUKDEN,a3_single_cluster_self,1.0
BURMESE RUBBER,BURMESE RUBBER (ARGENTINA ISRAEL IRAN),CANONICAL_ENTITY:BURMESE_RUBBER_ARGENTINA_ISRAEL_IRAN,a3_single_cluster_self,1.0
BURMESE SERVICES MISSION,BURMESE SERVICES MISSION (PUSAN NE WIN),CANONICAL_ENTITY:BURMESE_SERVICES_MISSION_PUSAN_NE_WIN,a3_single_cluster_self,1.0
BURMESE TRADE DELEGATION,BURMESE TRADE DELEGATION (CZECHOSLOVAKIA LEBANON SYRIA),CANONICAL_ENTITY:BURMESE_TRADE_DELEGATION_CZECHOSLOVAKIA_LEBANON_SYRIA,a3_single_cluster_self,1.0
BURMESE WORKERS AND PEASANTS PARTY,BURMESE WORKERS AND PEASANTS PARTY (KRASNODAR CHERNIAKHOVSKY AQABA),CANONICAL_ENTITY:BURMESE_WORKERS_AND_PEASANTS_PARTY_KRASNODAR_CHERNIAKHOVSKY_AQABA,a3_single_cluster_self,1.0
BUSHERI,BUSHERI (PASHA WAFD SELO),CANONICAL_ENTITY:BUSHERI_PASHA_WAFD_SELO,a3_single_cluster_self,1.0
BYDGOSZCZ,BYDGOSZCZ (KOREA WARSAW ALLIED),CANONICAL_ENTITY:BYDGOSZCZ_KOREA_WARSAW_ALLIED,a3_single_cluster_self,1.0
BYDGOSZEZ,BYDGOSZEZ (STETTIN ARASTEH SADCHIKOV),CANONICAL_ENTITY:BYDGOSZEZ_STETTIN_ARASTEH_SADCHIKOV,a3_single_cluster_self,1.0
BYINGTON,BYINGTON (IMRE YUGOSLAVIA SPAIN),CANONICAL_ENTITY:BYINGTON_IMRE_YUGOSLAVIA_SPAIN,a3_single_cluster_self,1.0
C 119,C 119 (KANZA ANICET THOMAS),CANONICAL_ENTITY:C_119_KANZA_ANICET_THOMAS,a3_single_cluster_self,1.0
C 119 TRANSPORTS,C 119 TRANSPORTS (DIEN PHU LEBANON),CANONICAL_ENTITY:C_119_TRANSPORTS_DIEN_PHU_LEBANON,a3_single_cluster_self,1.0
C 119G,C 119G (RLP KRISHNA BUNKER),CANONICAL_ENTITY:C_119G_RLP_KRISHNA_BUNKER,a3_single_cluster_self,1.0
C 130 HERCULES,C 130 HERCULES (RLP KRISHNA BUNKER),CANONICAL_ENTITY:C_130_HERCULES_RLP_KRISHNA_BUNKER,a3_single_cluster_self,1.0
C 47 DAKOTA,C 47 DAKOTA (GURSEL TURKEY SARPER),CANONICAL_ENTITY:C_47_DAKOTA_GURSEL_TURKEY_SARPER,a3_single_cluster_self,1.0
C C DESAI,S DUTT (DESAI KHOSLA KRISHNA),CANONICAL_ENTITY:S_DUTT_DESAI_KHOSLA_KRISHNA,a5_consolidated,0.9977
C K YEN,C K YEN (TSENG PU KIANG),CANONICAL_ENTITY:C_K_YEN_TSENG_PU_KIANG,a3_single_cluster_self,1.0
C SUBRAMANIAM,C SUBRAMANIAM (OUK CHHOUM SAVANG),CANONICAL_ENTITY:C_SUBRAMANIAM_OUK_CHHOUM_SAVANG,a3_single_cluster_self,1.0
CABINET MEETING,CABINET MEETING (PORTUGAL OPORTO THOMAZ),CANONICAL_ENTITY:CABINET_MEETING_PORTUGAL_OPORTO_THOMAZ,a3_single_cluster_self,1.0
CAFÉ,CAFÉ (LUZ JUSCELINO AQABA),CANONICAL_ENTITY:CAF_LUZ_JUSCELINO_AQABA,a3_single_cluster_self,1.0
CAIRO MISSION,CAIRO MISSION (KOREA MULELE LUNDULA),CANONICAL_ENTITY:CAIRO_MISSION_KOREA_MULELE_LUNDULA,a3_single_cluster_self,1.0
CAIRO REGIME,CAIRO REGIME (AIRBASE SHAIBA BASRA),CANONICAL_ENTITY:CAIRO_REGIME_AIRBASE_SHAIBA_BASRA,a3_single_cluster_self,1.0
CAIRO SECRETARIAT,CAIRO SECRETARIAT (MONTER ARGENTINA ANAYA),CANONICAL_ENTITY:CAIRO_SECRETARIAT_MONTER_ARGENTINA_ANAYA,a3_single_cluster_self,1.0
CAIRO SPY TRIAL,CAIRO SPY TRIAL (SYRIA ISRAELI SOLDIERS),CANONICAL_ENTITY:CAIRO_SPY_TRIAL_SYRIA_ISRAELI_SOLDIERS,a3_single_cluster_self,1.0
CAIRO WEST MILITARY AIRPORT,CAIRO WEST MILITARY AIRPORT (URUGUAY DIKHEILA ISRAEL),CANONICAL_ENTITY:CAIRO_WEST_MILITARY_AIRPORT_URUGUAY_DIKHEILA_ISRAEL,a3_single_cluster_self,1.0
CAIROS MIDDLE EAST NEWS AGENCY,CAIROS MIDDLE EAST NEWS AGENCY (WILLY SPD SHARIF),CANONICAL_ENTITY:CAIROS_MIDDLE_EAST_NEWS_AGENCY_WILLY_SPD_SHARIF,a3_single_cluster_self,1.0
CAJA DE AHORROS,CAJA DE AHORROS (DON REMON ARIAS),CANONICAL_ENTITY:CAJA_DE_AHORROS_DON_REMON_ARIAS,a3_single_cluster_self,1.0
CALVINIST CHURCH,LUTHERAN CHURCH (GROSZ CALVINIST BENCH),CANONICAL_ENTITY:LUTHERAN_CHURCH_GROSZ_CALVINIST_BENCH,a5_consolidated,0.9363
CALVO RAMIREZ,CALVO RAMIREZ (GUATEMALA ZAHEDI BUNDESTAG),CANONICAL_ENTITY:CALVO_RAMIREZ_GUATEMALA_ZAHEDI_BUNDESTAG,a3_single_cluster_self,1.0
CAMARA PINA,CAMARA PINA AND GENERAL BELEZA FERRAZ,CANONICAL_ENTITY:CAMARA_PINA_AND_GENERAL_BELEZA_FERRAZ,a5_consolidated,0.8184
CAMBODIAN,CAMBODIAN (ARABIA SUHRAWARDY GHULAM),CANONICAL_ENTITY:CAMBODIAN_ARABIA_SUHRAWARDY_GHULAM,a3_single_cluster_self,1.0
CAMBODIAN ARMY AUTHORITIES,CAMBODIAN ARMY AUTHORITIES (EQUATORIAL GRANDVAL RESIDENT),CANONICAL_ENTITY:CAMBODIAN_ARMY_AUTHORITIES_EQUATORIAL_GRANDVAL_RESIDENT,a3_single_cluster_self,1.0
CAMBODIAN ARMY CLIQUE,CAMBODIAN ARMY CLIQUE (EN TIOULONG LAI),CANONICAL_ENTITY:CAMBODIAN_ARMY_CLIQUE_EN_TIOULONG_LAI,a3_single_cluster_self,1.0
CAMBODIAN CABINET,CAMBODIAN CABINET (POLAND CAMBODIA BUDAPEST),CANONICAL_ENTITY:CAMBODIAN_CABINET_POLAND_CAMBODIA_BUDAPEST,a3_single_cluster_self,1.0
CAMBODIAN DEFENSE MINISTER,CAMBODIAN DEFENSE MINISTER (PHNOM PENH VIET),CANONICAL_ENTITY:CAMBODIAN_DEFENSE_MINISTER_PHNOM_PENH_VIET,a3_single_cluster_self,1.0
CAMBODIAN DEMOCRATIC REPUBLIC,CAMBODIAN DEMOCRATIC REPUBLIC (QUEMOYS PERBEPSI FORMOSA),CANONICAL_ENTITY:CAMBODIAN_DEMOCRATIC_REPUBLIC_QUEMOYS_PERBEPSI_FORMOSA,a3_single_cluster_self,1.0
CAMBODIAN FOREIGN MINISTER,CAMBODIAN FOREIGN MINISTER (MCCLINTOCK CAMBODIA HATOYAMA),CANONICAL_ENTITY:CAMBODIAN_FOREIGN_MINISTER_MCCLINTOCK_CAMBODIA_HATOYAMA,a3_single_cluster_self,1.0
CAMBODIAN ROYAL FAMILY,CAMBODIAN ROYAL FAMILY (BHUTAN KHRUSHCHEV INDONESIA),CANONICAL_ENTITY:CAMBODIAN_ROYAL_FAMILY_BHUTAN_KHRUSHCHEV_INDONESIA,a3_single_cluster_self,1.0
CAMBODIAN SECURITY FORCES,CAMBODIAN SECURITY FORCES (TRONG HIEU MAKARIOS),CANONICAL_ENTITY:CAMBODIAN_SECURITY_FORCES_TRONG_HIEU_MAKARIOS,a3_single_cluster_self,1.0
CAMERON HIGHLANDERS,CAMERON HIGHLANDERS AND DURHAM LIGHT INFANTRY,CANONICAL_ENTITY:CAMERON_HIGHLANDERS_AND_DURHAM_LIGHT_INFANTRY,a5_consolidated,0.83
CAMILLE HUYSMANS,ALGER HUYSMANS SPAAK,CANONICAL_ENTITY:ALGER_HUYSMANS_SPAAK,a5_consolidated,0.8079
CAMILO PONCE,CAMILO PONCE (POLANDS HUEBNER ECUADOR),CANONICAL_ENTITY:CAMILO_PONCE_POLANDS_HUEBNER_ECUADOR,a3_single_cluster_self,1.0
CAMP COLUMBIA,CAMP COLUMBIA (MILLS NAIM KNUDSEN),CANONICAL_ENTITY:CAMP_COLUMBIA_MILLS_NAIM_KNUDSEN,a3_single_cluster_self,1.0
CAMP DAVID,CAMP DAVID (MORAWSKI QADIR JERZY),CANONICAL_ENTITY:CAMP_DAVID_MORAWSKI_QADIR_JERZY,a3_single_cluster_self,1.0
CAMPAIGN FOR NUCLEAR DISARMAMENT,CAMPAIGN FOR NUCLEAR DISARMAMENT (GAITSKELL MACMILLAN STATES),CANONICAL_ENTITY:CAMPAIGN_FOR_NUCLEAR_DISARMAMENT_GAITSKELL_MACMILLAN_STATES,a3_single_cluster_self,1.0
CAN LAO,CAN LAO (SAVANG KATANGA USSR),CANONICAL_ENTITY:CAN_LAO_SAVANG_KATANGA_USSR,a3_single_cluster_self,1.0
