node_key,community_id,community
CANONICAL_ENTITY:ABD_AL_QADIR_ISMAIL_BUSTANI__82C8938E15,962,962
CANONICAL_ENTITY:ABD_AL_RAHMAN_BAKIR__9D9611E090,821,821
CANONICAL_ENTITY:ABD_AL_WAHHAB_MIRJAN__0986D91CE6,961,961
CANONICAL_ENTITY:ABIDJAN__9C136FDF5C,1264,1264
CANONICAL_ENTITY:ABOL_HASSAN_EBTEHAJ__E414C373AA,232,232
CANONICAL_ENTITY:ABRAMOV__F274E3328D,81,81
CANONICAL_ENTITY:ABUL_HUDA__88EB305DAE,286,286
CANONICAL_ENTITY:ABUL_PANAHI__E72BB19720,233,233
CANONICAL_ENTITY:ABU_ZAID__352833A17C,1987,1987
CANONICAL_ENTITY:ABYAN_COTTON_GROWING_DISTRICT__2A8A32E3A8,1988,1988
CANONICAL_ENTITY:ABYE__68363349CC,1868,1868
CANONICAL_ENTITY:ACADEMY_OF_ARTILLERY_SCIENCES__190C4DF9E3,126,126
CANONICAL_ENTITY:ACADEMY_OF_SCIENCES_USSR__9E1E6184F9,1898,1898
CANONICAL_ENTITY:ACCION_DEMOCRATICA__5B32D24DFC,869,869
CANONICAL_ENTITY:ACCRA__02B13C3643,1265,1265
CANONICAL_ENTITY:ACHDUT_HAAVODA__C1DD2B751D,2,2
CANONICAL_ENTITY:ACHILLES__4188A9D1E4,771,771
CANONICAL_ENTITY:ACHMAD_HUSSEIN__4887FD5D60,287,287
CANONICAL_ENTITY:ACTING_CHIEF_OF_STAFF_LUBIS__D42456BB1C,288,288
CANONICAL_ENTITY:ACTING_CHIEF_OF_STATE_OF_SOUTH_KOREA__E29C82E7EE,1731,1731
CANONICAL_ENTITY:ACTING_FOREIGN_MINISTER_ZORLU__53BFB23013,1732,1732
CANONICAL_ENTITY:ACTING_FOREIGN_MINISTER__4C0F46006B,234,234
CANONICAL_ENTITY:ACTING_GOVERNOR_GENERAL_MIRZA__C978D8DD95,620,620
CANONICAL_ENTITY:ACTING_PRESIDENT_GUIDO__AF077F9FE7,1294,1294
CANONICAL_ENTITY:ACTING_PRIME_MINISTER_QUAT__E3784D167D,123,123
CANONICAL_ENTITY:ACTION_COMMITTEE_FOR_THE_LIBERATION_OF_WEST_IRIA__5823419311,289,289
CANONICAL_ENTITY:ACTION_GROUP_AG__B8A6E87DDF,1149,1149
CANONICAL_ENTITY:ACTION_GROUP__5684BAB816,507,507
CANONICAL_ENTITY:ACT_OF_SANTIAGO__C19D89CC21,1295,1295
CANONICAL_ENTITY:ADDIS_ABABA__E0D7FAFF6B,1865,1865
CANONICAL_ENTITY:ADDITIONAL_MEASURES_COMMITTEE_OF_THE_UN__4D78044F4E,127,127
CANONICAL_ENTITY:ADDU_ATOLL__D7DB6E91F2,1371,1371
CANONICAL_ENTITY:ADENAUERS_CHRISTIAN_DEMOCRATS__55AE8B0351,1733,1733
CANONICAL_ENTITY:ADENAUERS_COALITION__078DE57658,772,772
CANONICAL_ENTITY:ADENAUERS_GOVERNMENT__730AC306EA,395,395
CANONICAL_ENTITY:ADENAUER_COALITION__8727279163,1933,1933
CANONICAL_ENTITY:ADENAUER_COALITION__955DE664D2,235,235
CANONICAL_ENTITY:ADENAUER_GOVERNMENT__0D0962C8AC,1087,1087
CANONICAL_ENTITY:ADENAUER_GOVERNMENT__B141056718,457,457
CANONICAL_ENTITY:ADENAUER_GOVERNMENT__E8D69A4669,290,290
CANONICAL_ENTITY:ADENAUER_SUPPORTERS__61281186D8,917,917
CANONICAL_ENTITY:ADENAUER__8FB43812D5,458,458
CANONICAL_ENTITY:ADEN_ABDULLAH_OSMAN__58FD9ECFE1,1866,1866
CANONICAL_ENTITY:ADEN_ABDULLAH__7619B16DDB,1866,1866
CANONICAL_ENTITY:ADEN_COLONY__4BAC3617DC,1842,1842
CANONICAL_ENTITY:ADEN_PROTECTORATE_FEDERATION__8EB1ADAFF7,1989,1989
CANONICAL_ENTITY:ADEN_PROTECTORATE__297B7D1AC5,1988,1988
CANONICAL_ENTITY:ADEN__6BFA6B7163,2262,2262
CANONICAL_ENTITY:ADHEMAR_DE_BARROS__C02B8F3C0B,1626,1626
CANONICAL_ENTITY:ADJEI__193F1EA4EC,3,3
CANONICAL_ENTITY:ADLAI_STEVENSON__2D5B6CC713,1005,1005
CANONICAL_ENTITY:ADMIRAL_AUBOYNEAU__4247C8F4D9,331,331
CANONICAL_ENTITY:ADMIRAL_BURKE__BA84015F9F,1843,1843
CANONICAL_ENTITY:ADMIRAL_CARNEY__A5729828A7,1734,1734
CANONICAL_ENTITY:ADMIRAL_DOYLE__0D74F4EE23,1990,1990
CANONICAL_ENTITY:ADMIRAL_FECHTELER__633974942F,459,459
CANONICAL_ENTITY:ADMIRAL_KWEI__ECFABA0F53,685,685
CANONICAL_ENTITY:ADMIRAL_LARRAZABAL__EBCF8AC5C0,870,870
CANONICAL_ENTITY:ADMIRAL_MANOLA__2518A24CAF,1592,1592
CANONICAL_ENTITY:ADMIRAL_MARTADINATA__9B2FAC5406,621,621
CANONICAL_ENTITY:ADMIRAL_MCCORMICK__7CE85AE1F3,396,396
CANONICAL_ENTITY:ADMIRAL_MOUNTBATTEN__7BEE48FDF6,1899,1899
CANONICAL_ENTITY:ADMIRAL_NIMITZ__8114EF9C79,622,622
CANONICAL_ENTITY:ADMIRAL_PENNA_BOTTO__9B76182762,1627,1627
CANONICAL_ENTITY:ADMIRAL_QUERVILLE__3FB5BD12E2,332,332
CANONICAL_ENTITY:ADMIRAL_QUINTAO_MEIRELES__97FDB247FD,460,460
CANONICAL_ENTITY:ADMIRAL_RADFORD__8E781C026D,686,686
CANONICAL_ENTITY:ADMIRAL_RASHID__8794F2E1F1,4,4
CANONICAL_ENTITY:ADMIRAL_REFET_ARKUN__C5B668F602,1735,1735
CANONICAL_ENTITY:ADMIRAL_RUBEN_PIEDRAHITA__BF562303D0,5,5
CANONICAL_ENTITY:ADMIRAL_SMOOT__5BD96EFCCE,687,687
CANONICAL_ENTITY:ADMIRAL_S_G_GORSHKOV__A06FF66E60,567,567
CANONICAL_ENTITY:ADMIRAL_USHAKOV__9F44092796,6,6
CANONICAL_ENTITY:ADMIRAL_WOLFGANG_LARRAZABAL__FFFA82A643,870,870
CANONICAL_ENTITY:ADMIRAL_WRIGHT__0F41908367,236,236
CANONICAL_ENTITY:ADNAN_ATASI__CD3944F2A0,7,7
CANONICAL_ENTITY:ADNAN_MALKI__356D991AD9,918,918
CANONICAL_ENTITY:ADNAN_MENDERES__D6EA856C49,1736,1736
CANONICAL_ENTITY:ADNAN_PACHACHI__194F621D34,179,179
CANONICAL_ENTITY:ADOLFO_LOPEZ_MATEOS__77BC7C55DB,1006,1006
CANONICAL_ENTITY:ADOLF_EICHMANN__5B57C41891,1088,1088
CANONICAL_ENTITY:ADOLPH_GALLAND__9427E18615,1089,1089
CANONICAL_ENTITY:ADOULA__E20D621CAD,175,175
CANONICAL_ENTITY:ADRIANO_MOREIRA__C43686733D,333,333
CANONICAL_ENTITY:ADRIEN_OMARI__CBF280E703,1660,1660
CANONICAL_ENTITY:ADU__2F67D4AA28,871,871
CANONICAL_ENTITY:ADVISORY_COMMITTEE__3D846F2B8B,1007,1007
CANONICAL_ENTITY:AEGEAN_SEA__F7B1D75823,1150,1150
CANONICAL_ENTITY:AEROFLOT__42351D8DDE,623,623
CANONICAL_ENTITY:AEROFLOT__4B6B6661FB,1151,1151
CANONICAL_ENTITY:AEROFLOT__894B01ADB5,2321,2321
CANONICAL_ENTITY:AFGHANISTAN__642910E63C,624,624
CANONICAL_ENTITY:AFGHAN_AIR_FORCE__294F6204F9,568,568
CANONICAL_ENTITY:AFGHAN_AMBASSADOR_TO_INDIA__F006ED6EF8,625,625
CANONICAL_ENTITY:AFGHAN_ARMY_UNIFORM_FACTORY__81506767D0,2119,2119
CANONICAL_ENTITY:AFGHAN_ARMY__26DEDFD90A,128,128
CANONICAL_ENTITY:AFGHAN_ARMY__AB2918D147,129,129
CANONICAL_ENTITY:AFGHAN_ARMY__CDFD369C0A,963,963
CANONICAL_ENTITY:AFGHAN_DEFENSE_MINISTER__C3648ADDCC,626,626
CANONICAL_ENTITY:AFGHAN_DEFENSE_MINISTRY__F45EA8A914,627,627
CANONICAL_ENTITY:AFGHAN_EMBASSY__4CEEEA14A8,1554,1554
CANONICAL_ENTITY:AFGHAN_FOREIGN_MINISTRY__AE8AE91C61,628,628
CANONICAL_ENTITY:AFGHAN_FOREIGN_MINISTRY__C4E950D0B8,461,461
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__06122E7521,180,180
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__34D448393A,685,685
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__396222DB9B,1090,1090
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__474DD12AC1,2285,2285
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__51F27C64EC,8,8
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__5E75941C07,2228,2228
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__67140F11A4,284,284
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__773BC2FC8F,1555,1555
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__92220E6E66,629,629
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__A96D948532,2322,2322
CANONICAL_ENTITY:AFGHAN_GOVERNMENT__C2E3D26B46,618,618
CANONICAL_ENTITY:AFGHAN_KING_ZAHIR_SHAH__E4ED3603B6,630,630
CANONICAL_ENTITY:AFGHAN_KING_ZAHIR__A45A626DDA,1231,1231
CANONICAL_ENTITY:AFGHAN_KING__9654463A75,1046,1046
CANONICAL_ENTITY:AFGHAN_MINISTRY_OF_DEFENSE__352618A7F5,631,631
CANONICAL_ENTITY:AFGHAN_OFFICIALS__3929AD33DD,1047,1047
CANONICAL_ENTITY:AFGHAN_PARLIAMENT__AB9A182653,1481,1481
CANONICAL_ENTITY:AFGHAN_PRESS__6AA234CC29,631,631
CANONICAL_ENTITY:AFGHAN_PRIME_MINISTER_DAUD__293929E7E6,632,632
CANONICAL_ENTITY:AFGHAN_PRIME_MINISTER__D75C46B8CE,1048,1048
CANONICAL_ENTITY:AFGHAN_UZBEKS__6A39312CD7,1091,1091
CANONICAL_ENTITY:AFIF_BIZRI__4ADF905DC3,872,872
CANONICAL_ENTITY:AFL_CIO__D29CF91256,1661,1661
CANONICAL_ENTITY:AFONSO_ARINOS__98A1318E51,1628,1628
CANONICAL_ENTITY:AFPFL__7E68D03584,1046,1046
CANONICAL_ENTITY:AFRICANS__B46BA1B0BB,963,963
CANONICAL_ENTITY:AFRICAN_DEMOCRATIC_RALLY__0E8CCCBA14,1959,1959
CANONICAL_ENTITY:AFRICAN_DEMOCRATIC_RALLY__EACA481B20,1266,1266
CANONICAL_ENTITY:AFRICAN_EXILE_GROUPS__BCA9901A95,1267,1267
CANONICAL_ENTITY:AFRICAN_LABOR_CONFERENCE__B21C210AAE,1262,1262
CANONICAL_ENTITY:AFRICAN_MEMBERS_OF_THE_COMMUNITY__7A8E10AB23,2121,2121
CANONICAL_ENTITY:AFRICAN_NATIONALISTS__4172EAA899,130,130
CANONICAL_ENTITY:AFRICAN_NATIONALISTS__6B5319CB99,873,873
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS_ANC__D868EE9592,1844,1844
CANONICAL_ENTITY:AFRICAN_NATIONAL_CONGRESS__0CD8AA769D,964,964
CANONICAL_ENTITY:AFRICAN_POLITICAL_PARTY__450A8D26C1,181,181
CANONICAL_ENTITY:AFRICAN_REGROUPMENT_PARTY__877186388A,1266,1266
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_INDEPENDENCE__8985F180EA,1771,1771
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_IND__C2B7DBE89A,1772,1772
CANONICAL_ENTITY:AFRICAN_REVOLUTIONARY_FRONT_FOR_THE_NATIONAL_IND__C6B1AAA271,1268,1268
CANONICAL_ENTITY:AFRICAN_SOLIDARITY_PARTY__D855000741,182,182
CANONICAL_ENTITY:AFRICA_FREEDOM_DAY__C45FA595F3,1519,1519
CANONICAL_ENTITY:AFRICA__0C79E70231,1008,1008
CANONICAL_ENTITY:AFRIKANER__D6489CF5C0,963,963
CANONICAL_ENTITY:AFRO_ASIAN_BLOC__53AF5441E3,1770,1770
CANONICAL_ENTITY:AFRO_ASIAN_BLOC__BE206A565D,1009,1009
